TOF EAST NORTH UP EAST_V NORTH_V UP_V EAST_A NORTH_A UP_A tgtE tgtN tgtU
0 0 0 0 1000 170 240 0 0 0
0.001 0.999868 0.170262 0.240365 999.735 170.525 240.73 -265.422 524.915 730.446 5000 10000 12500
0.002 1.99947 0.34105 0.48146 999.469 171.05 241.461 -266.529 525.236 731.156 5000 10000 12500
0.003 2.99881 0.512362 0.723287 999.202 171.575 242.192 -267.638 525.554 731.865 5000 10000 12500
0.004 3.99787 0.6842 0.965845 998.934 172.101 242.925 -268.749 525.871 732.571 5000 10000 12500
0.005 4.99667 0.856564 1.20914 998.665 172.627 243.658 -269.862 526.185 733.276 5000 10000 12500
0.006 5.9952 1.02945 1.45316 998.394 173.153 244.391 -270.977 526.497 733.978 5000 10000 12500
0.007 6.99346 1.20287 1.69792 998.123 173.68 245.125 -272.095 526.806 734.678 5000 10000 12500
0.008 7.99145 1.37681 1.94341 997.85 174.207 245.861 -273.214 527.113 735.376 5000 10000 12500
0.009 8.98916 1.55128 2.18964 997.576 174.734 246.596 -274.335 527.417 736.072 5000 10000 12500
0.01 9.9866 1.72628 2.4366 997.301 175.262 247.333 -275.459 527.72 736.766 5000 10000 12500
0.011 10.9838 1.90181 2.68431 997.025 175.79 248.07 -276.584 528.019 737.458 5000 10000 12500
0.012 11.9806 2.07786 2.93274 996.748 176.318 248.808 -277.711 528.317 738.147 5000 10000 12500
0.013 12.9773 2.25444 3.18192 996.47 176.846 249.546 -278.841 528.612 738.834 5000 10000 12500
0.014 13.9736 2.43155 3.43184 996.19 177.375 250.285 -279.972 528.904 739.52 5000 10000 12500
0.015 14.9696 2.60919 3.68249 995.91 177.904 251.025 -281.105 529.194 740.203 5000 10000 12500
0.016 15.9654 2.78736 3.93389 995.628 178.433 251.766 -282.24 529.482 740.883 5000 10000 12500
0.017 16.9609 2.96606 4.18602 995.345 178.963 252.507 -283.377 529.767 741.562 5000 10000 12500
0.018 17.9561 3.14529 4.4389 995.061 179.493 253.249 -284.516 530.049 742.238 5000 10000 12500
0.019 18.951 3.32505 4.69252 994.776 180.023 253.991 -285.657 530.329 742.912 5000 10000 12500
0.02 19.9457 3.50534 4.94688 994.49 180.554 254.735 -286.8 530.607 743.584 5000 10000 12500
0.021 20.94 3.68615 5.20199 994.203 181.084 255.479 -287.944 530.882 744.253 5000 10000 12500
0.022 21.9341 3.8675 5.45784 993.914 181.615 256.223 -289.091 531.154 744.921 5000 10000 12500
0.023 22.9278 4.04939 5.71444 993.625 182.147 256.968 -290.239 531.424 745.586 5000 10000 12500
0.024 23.9213 4.2318 5.97178 993.334 182.678 257.714 -291.39 531.692 746.248 5000 10000 12500
0.025 24.9145 4.41474 6.22987 993.042 183.21 258.461 -292.542 531.956 746.908 5000 10000 12500
0.026 25.9074 4.59822 6.4887 992.749 183.742 259.208 -293.696 532.219 747.566 5000 10000 12500
0.027 26.9 4.78223 6.74828 992.454 184.274 259.956 -294.852 532.478 748.222 5000 10000 12500
0.028 27.8923 4.96677 7.00861 992.159 184.807 260.705 -296.009 532.735 748.875 5000 10000 12500
0.029 28.8843 5.15184 7.26969 991.862 185.34 261.454 -297.169 532.99 749.526 5000 10000 12500
0.03 29.876 5.33745 7.53152 991.565 185.873 262.204 -298.33 533.241 750.174 5000 10000 12500
0.031 30.8674 5.52359 7.7941 991.266 186.406 262.954 -299.493 533.49 750.82 5000 10000 12500
0.032 31.8586 5.71026 8.05743 990.966 186.94 263.705 -300.658 533.737 751.464 5000 10000 12500
0.033 32.8494 5.89747 8.32151 990.664 187.474 264.457 -301.824 533.981 752.105 5000 10000 12500
0.034 33.8399 6.08521 8.58634 990.362 188.008 265.209 -302.993 534.222 752.743 5000 10000 12500
0.035 34.8301 6.27348 8.85193 990.058 188.542 265.962 -304.163 534.46 753.379 5000 10000 12500
0.036 35.82 6.46229 9.11827 989.754 189.077 266.716 -305.335 534.696 754.013 5000 10000 12500
0.037 36.8096 6.65164 9.38536 989.448 189.612 267.471 -306.508 534.929 754.644 5000 10000 12500
0.038 37.7989 6.84152 9.65321 989.141 190.147 268.225 -307.684 535.16 755.273 5000 10000 12500
0.039 38.7879 7.03193 9.92181 988.832 190.682 268.981 -308.861 535.387 755.899 5000 10000 12500
0.04 39.7766 7.22288 10.1912 988.523 191.218 269.737 -310.039 535.612 756.523 5000 10000 12500
0.041 40.7649 7.41437 10.4613 988.212 191.753 270.494 -311.219 535.834 757.144 5000 10000 12500
0.042 41.753 7.60639 10.7322 987.901 192.289 271.252 -312.401 536.054 757.762 5000 10000 12500
0.043 42.7407 7.79894 11.0038 987.588 192.825 272.01 -313.585 536.27 758.378 5000 10000 12500
0.044 43.7282 7.99204 11.2762 987.273 193.362 272.768 -314.77 536.484 758.992 5000 10000 12500
0.045 44.7153 8.18567 11.5493 986.958 193.898 273.528 -315.957 536.695 759.602 5000 10000 12500
0.046 45.7021 8.37983 11.8232 986.641 194.435 274.288 -317.146 536.903 760.211 5000 10000 12500
0.047 46.6886 8.57454 12.0979 986.324 194.972 275.048 -318.336 537.109 760.816 5000 10000 12500
