tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.0100000000 0.0049673176 0.0028678822 0.0081915204 3000.0000000000 3000.0000000000 3000.0000000000 0.0000006627 0.0000004448 FLYING
0.0200000000 0.0133730864 0.0077209637 0.0220533197 3000.0000000000 3000.0000000000 3000.0000000000 0.0000010429 0.0000006999 FLYING
0.0300000000 0.0286695911 0.0165524455 0.0472784673 3000.0000000000 3000.0000000000 3000.0000000000 0.0000020592 0.0000013819 FLYING
0.0400000000 0.0543230445 0.0313636244 0.0895829167 3000.0000000000 3000.0000000000 3000.0000000000 0.0000037623 0.0000025249 FLYING
0.0500000000 0.0938136941 0.0541640253 0.1547055743 3000.0000000000 3000.0000000000 3000.0000000000 0.0000081932 0.0000054984 FLYING
0.0600000000 0.1367855430 0.0789748877 0.2255681130 3000.0000000000 3000.0000000000 3000.0000000000 0.0000069028 0.0000046324 FLYING
0.0700000000 0.1971745281 0.1138426158 0.3251513050 3000.0000000000 3000.0000000000 3000.0000000000 0.0000105695 0.0000070929 FLYING
0.0800000000 0.2750664790 0.1588175879 0.4535954241 3000.0000000000 3000.0000000000 3000.0000000000 0.0000143443 0.0000096258 FLYING
0.0900000000 0.3705475082 0.2139506663 0.6110407183 3000.0000000000 3000.0000000000 3000.0000000000 0.0000181862 0.0000122036 FLYING
0.1000000000 0.4837040161 0.2792932079 0.7976274059 3000.0000000000 3000.0000000000 3000.0000000000 0.0000220761 0.0000148133 FLYING
0.1100000000 0.6146226924 0.3548970713 1.0134956683 3000.0000000000 3000.0000000000 3000.0000000000 0.0000260038 0.0000174480 FLYING
0.1200000000 0.7633905199 0.4408146252 1.2587856463 3000.0000000000 3000.0000000000 3000.0000000000 0.0000299635 0.0000201037 FLYING
0.1300000000 0.9300947756 0.5370987553 1.5336374342 3000.0000000000 3000.0000000000 3000.0000000000 0.0000339516 0.0000227780 FLYING
0.1400000000 1.1148230339 0.6438028708 1.8381910743 3000.0000000000 3000.0000000000 3000.0000000000 0.0000379658 0.0000254692 FLYING
0.1500000000 1.3176631690 0.7609809126 2.1725865542 3000.0000000000 3000.0000000000 3000.0000000000 0.0000420045 0.0000281763 FLYING
0.1600000000 1.5387033563 0.8886873590 2.5369637991 3000.0000000000 3000.0000000000 3000.0000000000 0.0000460667 0.0000308985 FLYING
0.1700000000 1.7780320753 1.0269772334 2.9314626686 3000.0000000000 3000.0000000000 3000.0000000000 0.0000501516 0.0000336351 FLYING
0.1800000000 2.0357381121 1.1759061111 3.3562229517 3000.0000000000 3000.0000000000 3000.0000000000 0.0000542588 0.0000363857 FLYING
0.1900000000 2.3119105610 1.3355301260 3.8113843610 3000.0000000000 3000.0000000000 3000.0000000000 0.0000583877 0.0000391501 FLYING
0.2000000000 2.6066388276 1.5059059783 4.2970865292 3000.0000000000 3000.0000000000 3000.0000000000 0.0000625382 0.0000419279 FLYING
0.2100000000 2.9200126303 1.6870909407 4.8134690024 3000.0000000000 3000.0000000000 3000.0000000000 0.0000667100 0.0000447190 FLYING
0.2200000000 3.2521220030 1.8791428658 5.3606712361 3000.0000000000 3000.0000000000 3000.0000000000 0.0000709031 0.0000475231 FLYING
