tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.0100000000 0.0064085638 0.0029883624 0.0070710678 3000.0000000000 3000.0000000000 3000.0000000000 0.0427101295 0.0000009447 FLYING
0.0200000000 0.0172519666 0.0080447411 0.0180547358 3000.0000000000 3000.0000000000 3000.0000000000 0.0245268948 0.0000013847 FLYING
0.0300000000 0.0373555335 0.0174192646 0.0374376863 3000.0000000000 3000.0000000000 3000.0000000000 0.0148693711 0.0000027019 FLYING
0.0400000000 0.0716871229 0.0334286261 0.0695580269 3000.0000000000 3000.0000000000 3000.0000000000 0.0097283100 0.0000049620 FLYING
0.0500000000 0.1252728932 0.0584169367 0.1187118736 3000.0000000000 3000.0000000000 3000.0000000000 0.0090567084 0.0000109827 FLYING
0.0600000000 0.1837406968 0.0856828638 0.1713636001 3000.0000000000 3000.0000000000 3000.0000000000 0.0064545076 0.0000091140 FLYING
0.0700000000 0.2668252414 0.1244297674 0.2452030251 3000.0000000000 3000.0000000000 3000.0000000000 0.0050140598 0.0000140756 FLYING
0.0800000000 0.3747765194 0.1747757655 0.3401622255 3000.0000000000 3000.0000000000 3000.0000000000 0.0040983826 0.0000191892 FLYING
0.0900000000 0.5078159145 0.2368262477 0.4562106867 3000.0000000000 3000.0000000000 3000.0000000000 0.0034644938 0.0000243966 FLYING
0.1000000000 0.6661467967 0.3106788309 0.5933417160 3000.0000000000 3000.0000000000 3000.0000000000 0.0029994448 0.0000296705 FLYING
0.1100000000 0.8499601629 0.3964260029 0.7515651371 3000.0000000000 3000.0000000000 3000.0000000000 0.0026435726 0.0000349963 FLYING
0.1200000000 1.0594379893 0.4941566972 0.9309029103 3000.0000000000 3000.0000000000 3000.0000000000 0.0023623804 0.0000403655 FLYING
0.1300000000 1.2947553835 0.6039573083 1.1313863000 3000.0000000000 3000.0000000000 3000.0000000000 0.0021345291 0.0000457732 FLYING
0.1400000000 1.5560820455 0.7259123836 1.3530539394 3000.0000000000 3000.0000000000 3000.0000000000 0.0019461076 0.0000512156 FLYING
0.1500000000 1.8435833039 0.8601051177 1.5959504478 3000.0000000000 3000.0000000000 3000.0000000000 0.0017876579 0.0000566907 FLYING
0.1600000000 2.1574208766 1.0066177180 1.8601254107 3000.0000000000 3000.0000000000 3000.0000000000 0.0016525248 0.0000621966 FLYING
0.1700000000 2.4977534437 1.1655316822 2.1456326052 3000.0000000000 3000.0000000000 3000.0000000000 0.0015358884 0.0000677322 FLYING
0.1800000000 2.8647370909 1.3369280163 2.4525293985 3000.0000000000 3000.0000000000 3000.0000000000 0.0014341722 0.0000732965 FLYING
0.1900000000 3.2585256572 1.5208874071 2.7808762712 3000.0000000000 3000.0000000000 3000.0000000000 0.0013446663 0.0000788888 FLYING
0.2000000000 3.6792710139 1.7174903633 3.1307364338 3000.0000000000 3000.0000000000 3000.0000000000 0.0012652797 0.0000845085 FLYING
0.2100000000 4.1271232901 1.9268173310 3.5021755138 3000.0000000000 3000.0000000000 3000.0000000000 0.0011943730 0.0000901553 FLYING
0.2200000000 4.6022310578 2.1489487912 3.8952612961 3000.0000000000 3000.0000000000 3000.0000000000 0.0011306429 0.0000958287 FLYING
0.2300000000 5.1047414857 2.3839653422 4.3100635070 3000.0000000000 3000.0000000000 3000.0000000000 0.0010730400 0.0001015283 FLYING
0.2400000000 5.6348004673 2.6319477701 4.7466536310 3000.0000000000 3000.0000000000 3000.0000000000 0.0010207101 0.0001072540 FLYING
0.2500000000 6.1925527294 2.8929771104 5.2051047552 3000.0000000000 3000.0000000000 3000.0000000000 0.0009729503 0.0001130055 FLYING
0.2600000000 6.7781419237 3.1671347018 5.6854914358 3000.0000000000 3000.0000000000 3000.0000000000 0.0009291777 0.0001187826 FLYING
0.2700000000 7.3917107057 3.4545022331 6.1878895824 3000.0000000000 3000.0000000000 3000.0000000000 0.0008889097 0.0001245859 FLYING
0.2800000000 8.0333966899 3.7551598612 6.7123729919 3000.0000000000 3000.0000000000 3000.0000000000 0.0008517799 0.0001304207 FLYING
0.2900000000 8.7032995939 4.0691708218 7.2589863744 3000.0000000000 3000.0000000000 3000.0000000000 0.0008174277 0.0001362719 FLYING
0.3000000000 9.4015182802 4.3965987670 7.8277756063 3000.0000000000 3000.0000000000 3000.0000000000 0.0007855449 0.0001421394 FLYING
0.3100000000 10.1281508065 4.7375077949 8.4187876561 3000.0000000000 3000.0000000000 3000.0000000000 0.0007558671 0.0001480231 FLYING
0.3200000000 10.8832944694 5.0919624785 9.0320705193 3000.0000000000 3000.0000000000 3000.0000000000 0.0007281664 0.0001539227 FLYING
0.3300000000 11.6670458424 5.4600278901 9.6676731598 3000.0000000000 3000.0000000000 3000.0000000000 0.0007022452 0.0001598384 FLYING
0.3400000000 12.4795008100 5.8417696256 10.3256454581 3000.0000000000 3000.0000000000 3000.0000000000 0.0006779314 0.0001657699 FLYING
0.3500000000 13.3207545978 6.2372538250 11.0060381643 3000.0000000000 3000.0000000000 3000.0000000000 0.0006550743 0.0001717171 FLYING
0.3600000000 14.1909017985 6.6465471929 11.7089028566 3000.0000000000 3000.0000000000 3000.0000000000 0.0006335413 0.0001776799 FLYING
0.3700000000 15.0900363962 7.0697170172 12.4342919026 3000.0000000000 3000.0000000000 3000.0000000000 0.0006132157 0.0001836583 FLYING
0.3800000000 16.0182517865 7.5068311857 13.1822584254 3000.0000000000 3000.0000000000 3000.0000000000 0.0005939937 0.0001896522 FLYING
0.3900000000 16.9756407956 7.9579582030 13.9528562723 3000.0000000000 3000.0000000000 3000.0000000000 0.0005757834 0.0001956614 FLYING
0.4000000000 17.9622956966 8.4231672056 14.7461399859 3000.0000000000 3000.0000000000 3000.0000000000 0.0005585026 0.0002016860 FLYING
0.4100000000 18.9783082243 8.9025279764 15.5621647786 3000.0000000000 3000.0000000000 3000.0000000000 0.0005420779 0.0002077257 FLYING
0.4200000000 20.0237695880 9.3961109585 16.4009865087 3000.0000000000 3000.0000000000 3000.0000000000 0.0005264432 0.0002137807 FLYING
0.4300000000 21.0987704837 9.9039872680 17.2626616581 3000.0000000000 3000.0000000000 3000.0000000000 0.0005115391 0.0002198506 FLYING
0.4400000000 22.2034011035 10.4262287070 18.1472473130 3000.0000000000 3000.0000000000 3000.0000000000 0.0004973122 0.0002259356 FLYING
0.4500000000 23.3377511455 10.9629077749 19.0548011449 3000.0000000000 3000.0000000000 3000.0000000000 0.0004837139 0.0002320354 FLYING
0.4600000000 24.5019098214 11.5140976803 19.9853813935 3000.0000000000 3000.0000000000 3000.0000000000 0.0004707003 0.0002381501 FLYING
0.4700000000 25.6959658636 12.0798723520 20.9390468513 3000.0000000000 3000.0000000000 3000.0000000000 0.0004582313 0.0002442795 FLYING
0.4800000000 26.9200075314 12.6603064494 21.9158568488 3000.0000000000 3000.0000000000 3000.0000000000 0.0004462707 0.0002504236 FLYING
0.4900000000 28.1741226164 13.2554753728 22.9158712408 3000.0000000000 3000.0000000000 3000.0000000000 0.0004347851 0.0002565822 FLYING
0.5000000000 29.4583984473 13.8654552734 23.9391503940 3000.0000000000 3000.0000000000 3000.0000000000 0.0004237441 0.0002627554 FLYING
0.5100000000 30.7729218934 14.4903230628 24.9857551755 3000.0000000000 3000.0000000000 3000.0000000000 0.0004131199 0.0002689429 FLYING
0.5200000000 32.1177793684 15.1301564224 26.0557469413 3000.0000000000 3000.0000000000 3000.0000000000 0.0004028869 0.0002751447 FLYING
0.5300000000 33.4930568328 15.7850338125 27.1491875266 3000.0000000000 3000.0000000000 3000.0000000000 0.0003930216 0.0002813607 FLYING
0.5400000000 34.8988397965 16.4550344811 28.2661392360 3000.0000000000 3000.0000000000 3000.0000000000 0.0003835044 0.0002875923 FLYING
0.5500000000 36.3352052889 17.1402346443 29.4066584535 3000.0000000000 3000.0000000000 3000.0000000000 0.0003743234 0.0002938427 FLYING
