tof posE posN posU psiRads thetaRads velE velN velU mach speed specificForceX specificForceY specificForceZ tgtE tgtN tgtU
0.0020 0.0015 0.0000 0.0022 0.0000 0.9662 0.7646 0.0000 1.1066 0.0029 1.3451 172.5224 0.0000 4.1850 3000.0000 0.0000 3000.0000
0.0040 0.0034 0.0000 0.0050 0.0000 0.9712 0.9537 0.0000 1.3951 0.0040 1.6900 172.4331 0.0000 4.2349 3000.0000 0.0000 3000.0000
0.0060 0.0057 0.0000 0.0084 0.0000 0.9754 1.1412 0.0000 1.6845 0.0050 2.0347 172.3508 0.0000 4.2752 3000.0000 0.0000 3000.0000
0.0080 0.0084 0.0000 0.0123 0.0000 0.9790 1.3273 0.0000 1.9746 0.0060 2.3792 172.2731 0.0000 4.3091 3000.0000 0.0000 3000.0000
0.0100 0.0114 0.0000 0.0169 0.0000 0.9822 1.5122 0.0000 2.2653 0.0070 2.7237 172.1987 0.0000 4.3382 3000.0000 0.0000 3000.0000
0.0120 0.0148 0.0000 0.0220 0.0000 0.9850 1.6961 0.0000 2.5564 0.0080 3.0679 172.1267 0.0000 4.3638 3000.0000 0.0000 3000.0000
0.0140 0.0185 0.0000 0.0277 0.0000 0.9876 1.8790 0.0000 2.8480 0.0090 3.4120 172.0566 0.0000 4.3867 3000.0000 0.0000 3000.0000
0.0160 0.0227 0.0000 0.0339 0.0000 0.9899 2.0611 0.0000 3.1400 0.0100 3.7560 171.9881 0.0000 4.4073 3000.0000 0.0000 3000.0000
0.0180 0.0272 0.0000 0.0408 0.0000 0.9921 2.2424 0.0000 3.4323 0.0110 4.0999 171.9207 0.0000 4.4260 3000.0000 0.0000 3000.0000
0.0200 0.0320 0.0000 0.0483 0.0000 0.9941 2.4229 0.0000 3.7249 0.0120 4.4436 171.8543 0.0000 4.4432 3000.0000 0.0000 3000.0000
0.0220 0.0372 0.0000 0.0563 0.0000 0.9960 2.6028 0.0000 4.0178 0.0131 4.7872 171.7888 0.0000 4.4590 3000.0000 0.0000 3000.0000
0.0240 0.0428 0.0000 0.0649 0.0000 0.9977 2.7820 0.0000 4.3109 0.0141 5.1306 171.7240 0.0000 4.4737 3000.0000 0.0000 3000.0000
0.0260 0.0487 0.0000 0.0741 0.0000 0.9993 2.9606 0.0000 4.6042 0.0151 5.4740 171.6598 0.0000 4.4874 3000.0000 0.0000 3000.0000
0.0280 0.0550 0.0000 0.0839 0.0000 1.0009 3.1387 0.0000 4.8978 0.0161 5.8172 171.5962 0.0000 4.5001 3000.0000 0.0000 3000.0000
0.0300 0.0616 0.0000 0.0943 0.0000 1.0024 3.3162 0.0000 5.1915 0.0171 6.1602 171.5330 0.0000 4.5121 3000.0000 0.0000 3000.0000
0.0320 0.0686 0.0000 0.1053 0.0000 1.0037 3.4932 0.0000 5.4854 0.0181 6.5032 171.4703 0.0000 4.5233 3000.0000 0.0000 3000.0000
0.0340 0.0759 0.0000 0.1168 0.0000 1.0051 3.6696 0.0000 5.7794 0.0191 6.8460 171.4079 0.0000 4.5339 3000.0000 0.0000 3000.0000
0.0360 0.0836 0.0000 0.1290 0.0000 1.0063 3.8457 0.0000 6.0736 0.0201 7.1887 171.3458 0.0000 4.5439 3000.0000 0.0000 3000.0000
0.0380 0.0917 0.0000 0.1417 0.0000 1.0075 4.0212 0.0000 6.3679 0.0211 7.5313 171.2840 0.0000 4.5534 3000.0000 0.0000 3000.0000
0.0400 0.1001 0.0000 0.1550 0.0000 1.0087 4.1964 0.0000 6.6623 0.0221 7.8737 171.2225 0.0000 4.5623 3000.0000 0.0000 3000.0000
0.0420 0.1088 0.0000 0.1690 0.0000 1.0098 4.3711 0.0000 6.9568 0.0231 8.2161 171.1612 0.0000 4.5708 3000.0000 0.0000 3000.0000
0.0440 0.1179 0.0000 0.1835 0.0000 1.0109 4.5454 0.0000 7.2514 0.0241 8.5583 171.1001 0.0000 4.5788 3000.0000 0.0000 3000.0000
0.0460 0.1273 0.0000 0.1985 0.0000 1.0119 4.7193 0.0000 7.5462 0.0251 8.9003 171.0392 0.0000 4.5865 3000.0000 0.0000 3000.0000
0.0480 0.1371 0.0000 0.2142 0.0000 1.0129 4.8928 0.0000 7.8410 0.0262 9.2423 170.9785 0.0000 4.5937 3000.0000 0.0000 3000.0000
0.0500 0.1472 0.0000 0.2305 0.0000 1.0139 5.0660 0.0000 8.1358 0.0272 9.5841 170.9180 0.0000 4.6007 3000.0000 0.0000 3000.0000
0.0520 0.1577 0.0000 0.2474 0.0000 1.0148 5.2388 0.0000 8.4308 0.0282 9.9259 170.8575 0.0000 4.6072 3000.0000 0.0000 3000.0000
0.0540 0.1685 0.0000 0.2648 0.0000 1.0157 5.4112 0.0000 8.7258 0.0292 10.2675 170.7973 0.0000 4.6135 3000.0000 0.0000 3000.0000
0.0560 0.1797 0.0000 0.2829 0.0000 1.0166 5.5833 0.0000 9.0209 0.0302 10.6089 170.7371 0.0000 4.6195 3000.0000 0.0000 3000.0000
0.0580 0.1912 0.0000 0.3015 0.0000 1.0174 5.7551 0.0000 9.3160 0.0312 10.9503 170.6770 0.0000 4.6251 3000.0000 0.0000 3000.0000
0.0600 0.2031 0.0000 0.3207 0.0000 1.0182 5.9266 0.0000 9.6112 0.0322 11.2915 170.6170 0.0000 4.6305 3000.0000 0.0000 3000.0000
0.0620 0.2153 0.0000 0.3405 0.0000 1.0190 6.0977 0.0000 9.9064 0.0332 11.6327 170.5572 0.0000 4.6357 3000.0000 0.0000 3000.0000
0.0640 0.2278 0.0000 0.3609 0.0000 1.0198 6.2686 0.0000 10.2016 0.0342 11.9737 170.4974 0.0000 4.6406 3000.0000 0.0000 3000.0000
0.0660 0.2407 0.0000 0.3819 0.0000 1.0206 6.4391 0.0000 10.4969 0.0352 12.3145 170.4376 0.0000 4.6453 3000.0000 0.0000 3000.0000
0.0680 0.2539 0.0000 0.4035 0.0000 1.0213 6.6094 0.0000 10.7922 0.0362 12.6553 170.3780 0.0000 4.6497 3000.0000 0.0000 3000.0000
0.0700 0.2675 0.0000 0.4257 0.0000 1.0220 6.7793 0.0000 11.0876 0.0372 12.9959 170.3184 0.0000 4.6539 3000.0000 0.0000 3000.0000
0.0720 0.2814 0.0000 0.4484 0.0000 1.0227 6.9490 0.0000 11.3830 0.0382 13.3365 170.2589 0.0000 4.6580 3000.0000 0.0000 3000.0000
0.0740 0.2956 0.0000 0.4718 0.0000 1.0234 7.1184 0.0000 11.6784 0.0392 13.6769 170.1994 0.0000 4.6618 3000.0000 0.0000 3000.0000
0.0760 0.3102 0.0000 0.4957 0.0000 1.0241 7.2876 0.0000 11.9738 0.0402 14.0171 170.1399 0.0000 4.6654 3000.0000 0.0000 3000.0000
