DT TOF MAX_TOF RNG ALT THT THT_DEG THT_DOT THT_DOT_DEG VEL_HRZ VEL_VRT SPD U W ACC_HRZ ACC_VRT U_DOT W_DOT AOA AOA_DEG AOA_DOT AOA_DOT_DEG RHO P A G Q MACH T_MOI MASS W_Z W_AF Z_AF K1 K2 K3 TA
0.004 0.0 10 0.0 1000.0 0.8853981633974483 0.8853981633974483 0.0 0.0 130.0 130.0 183.84776310850236 182.9292900700076 -18.35415033399847 0.0 0.0 182.9292900700076 -18.35415033399847 0.0 0.0 0.0 0.0 1.1116596736996904 89876.27760234232 336.43458210225776 9.803565306802405 18787.04848552477 0.5464591718238486 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.0 10 0.52 1000.52 0.8861144648725903 0.8861144648725903 0.17907536878551114 0.0 130.0255958993012 129.979072055328 183.84776310850236 182.9292900700076 -18.38721283434603 6.398974825301622 -5.231986168000034 182.9292900700076 -18.38721283434603 0.0008961377689784739 0.0 0.22403444224461846 0.0 1.1116596736996904 89876.27760234232 336.43458210225776 9.803565306802405 18787.04848552477 0.5464591718238486 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.004 10 1.0401023835972047 1001.0399162882213 0.8875393325880352 0.8875393325880352 0.3562169288612264 0.0 130.05082280178615 129.95847594565342 183.84776310850236 182.91607235406514 -18.55080742450242 6.306725621235897 -5.14902741864504 182.91607235406514 -18.55080742450242 0.0024981455138381637 0.0 0.40050193621492247 0.0 1.1116029164388308 89870.61066880764 336.43256401174466 9.803563703140574 18786.08928781624 0.54646244975883 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.008 10 1.5603056748043493 1001.5597501920039 0.8896589365130179 0.8896589365130179 0.5299009812456744 0.0 130.0753904056764 129.93847638133406 183.84776310850236 182.88945423395037 -18.84309856418024 6.141900972561758 -4.999891079844176 182.88945423395037 -18.84309856418024 0.004790059683811651 0.0 0.5729785424933719 0.0 1.111546170540686 89864.94493775108 336.43054623433954 9.8035620997373 18785.130282137594 0.5464657272245542 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.012 10 2.080607236427055 1002.0795040975293 0.8924534370522125 0.8924534370522125 0.6986251347986399 0.0 130.09900859192132 129.9193327956791 183.84776310850236 182.8491035227077 -19.261111380638326 5.904546561230276 -4.785896413733652 182.8491035227077 -19.261111380638326 0.007749926554126763 0.0 0.739966717578778 0.0 1.1114894358592564 89859.28039455756 336.42852876489656 9.803560496588489 18784.171466021435 0.5464690042293622 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.016 10 2.6010032707947404 1002.599181428712 0.8958971016806571 0.8958971016806571 0.8609161571111426 0.0 130.12138733930774 129.90129721956407 183.84776310850236 182.7945644514385 -19.80074921412281 5.594686846607169 -4.508894028761475 182.7945644514385 -19.80074921412281 0.011349925895974998 0.0 0.8999998354620588 0.0 1.1114327121330108 89853.61701307795 336.4265115941602 9.803558893686784 18783.21283504788 0.5464722807882708 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.02 10 3.1214888201519715 1003.1187866175902 0.8999584553407579 0.8999584553407579 1.015338415025203 0.0 130.14223698161194 129.88461209280294 183.84776310850236 182.72529358312056 -20.456817690890542 5.212410576046365 -4.171281690280861 182.72529358312056 -20.456817690890542 0.015556529905070414 0.0 1.051651002273854 0.0 1.1113759989872116 89847.95475586187 336.4244947088474 9.803557291021626 18782.25438288388 0.5464755569228398 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.024 10 3.6420577680784194 1003.6383250659615 0.9046004674490742 0.9046004674490742 1.1605030270790724 0.0 130.16126889006378 129.8695080113827 183.84776310850236 182.64070445246588 -21.22305603105018 4.757977112955839 -3.7760203550608855 182.64070445246588 -21.22305603105018 0.02033070056247334 0.0 1.193542664350731 0.0 1.1113192959371685 89842.29357448322 336.4224780917621 9.803555688579342 18781.29610133815 0.5464788326609862 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.028 10 4.162702843638675 1004.157803098007 0.9097807786860855 0.9097807786860855 1.2950778092528488 0.0 130.17819665059125 129.85620142253586 183.84776310850236 182.54021933054983 -22.092176394483516 4.231940131863572 -3.3266472117058035 182.54021933054983 -22.092176394483516 0.025628128842950723 0.0 1.324357070119346 0.0 1.111262602392448 89836.63340996104 336.4204617219441 9.803554086343278 18780.33798043237 0.5464821080367428 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
0.004 0.032 10 4.68341563024104 1004.6772279036971 0.9154519708765361 0.9154519708765361 1.4177980476126288 0.0 130.19273778817964 129.84489229344476 183.84776310850236 182.4233262078722 -23.055912099377387 3.635284397097189 -2.8272822727750104 182.4233262078722 -23.055912099377387 0.03139951922209083 0.0 1.4428475947850268 0.0 1.1112059176620586 89830.97419327805 336.41844557485285 9.803552484293927 18779.38000848879 0.5464853830899601 12.9291077535 45 15.947092235996628 23.983130902444174 0.017366894787779974 -0.022697771347546223 -0.022697771347546223 -0.22778296253464772 3.9155745595427325
