tof posE posN posU tgtE tgtN tgtU normComm normAch pitchRate thetaRate pitchDefl alpha theta sideComm sideAch yawRate psiRate yawDefl beta psi rollComm phiRate rollRate rollDefl roll seekPitchErr seekYawErr staticMargin mach
0.0010000000 0.0005868241 0.0004924039 0.0006427876 3000.0000000000 0.0000000000 3000.0000000000 0.0000121302 -0.7660444431 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 40.0000000000 -0.0000284941 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 40.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 1.6069444444 0.0029385836
0.0020000000 0.0011736367 0.0009847981 0.0012757556 3000.0000000000 0.0000000000 3000.0000000000 0.0000124957 -0.7660431701 -0.0000002694 0.0000000000 0.0000000000 0.4331710781 40.0000000000 -0.0000280883 -0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 40.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000081 -0.0000000546 1.4722629596 0.0029200851
0.0030000000 0.0017644925 0.0014805850 0.0019033455 3000.0000000000 0.0000000000 3000.0000000000 0.0000130297 -0.7660418952 -0.0000008085 -0.0000002694 0.0000000000 0.8657812265 39.9999999997 -0.0000280765 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 40.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000165 -0.0000001088 1.3697549306 0.0029220579
0.0040000000 0.0023634479 0.0019831683 0.0025300004 3000.0000000000 0.0000000000 3000.0000000000 0.0000137434 -0.7660405917 -0.0000016237 -0.0000008085 0.0000000000 1.2888302818 39.9999999989 -0.0000284586 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 40.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000252 -0.0000001631 1.2906472354 0.0029445047
0.0050000000 0.0029745610 0.0024959530 0.0031601654 3000.0000000000 0.0000000000 3000.0000000000 0.0000146515 -0.7660392327 -0.0000027266 -0.0000016237 0.0000000000 1.6938560083 39.9999999973 -0.0000292425 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 40.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000343 -0.0000002178 1.2289803543 0.0029874215
0.0060000000 0.0036018912 0.0030223456 0.0037982873 3000.0000000000 0.0000000000 3000.0000000000 0.0000157723 -0.7660377914 -0.0000041348 -0.0000027266 0.0000000000 2.0734834435 39.9999999946 -0.0000304445 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 40.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000439 -0.0000002733 1.1805756212 0.0030507990
0.0070000000 0.0042495000 0.0035657539 0.0044488147 3000.0000000000 0.0000000000 3000.0000000000 0.0000171274 -0.7660362411 -0.0000058716 -0.0000041348 0.0000000000 2.4218326025 39.9999999904 -0.0000320889 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 40.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000541 -0.0000003299 1.1424248713 0.0031346239
0.0080000000 0.0049214502 0.0041295870 0.0051161979 3000.0000000000 0.0000000000 3000.0000000000 0.0000187420 -0.7660345551 -0.0000079657 -0.0000058716 0.0000000000 2.7347434426 39.9999999846 -0.0000342084 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 40.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000647 -0.0000003881 1.1123139992 0.0032388806
0.0090000000 0.0056218062 0.0047172555 0.0058048891 3000.0000000000 0.0000000000 3000.0000000000 0.0000206448 -0.7660327038 -0.0000104469 -0.0000079657 0.0000000000 3.0098136334 39.9999999766 -0.0000368438 -0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 40.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000761 -0.0000004482 1.0890509447 0.0033635532
0.0100000000 0.0063546343 0.0053321713 0.0065193423 3000.0000000000 0.0000000000 3000.0000000000 0.0000228679 -0.7660305869 -0.0000132339 -0.0000104469 0.0000000000 3.2462761767 39.9999999662 -0.0000400442 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 40.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000881 -0.0000005106 1.0809814562 0.0035086265
