tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.0100000000 0.0001639990 -0.0000596907 0.0099984770 -3500.0000000000 0.0000000000 3000.0000000000 0.0010718861 -0.0000000000 FLYING
0.0200000000 0.0004414599 -0.0001606783 0.0259353792 -3500.0000000000 0.0000000000 3000.0000000000 0.0006274737 -0.0000000000 FLYING
0.0300000000 0.0009602859 -0.0003495155 0.0547593531 -3500.0000000000 0.0000000000 3000.0000000000 0.0003805327 0.0000000000 FLYING
0.0400000000 0.0018540690 -0.0006748259 0.1034469173 -3500.0000000000 0.0000000000 3000.0000000000 0.0002440068 -0.0000000000 FLYING
0.0500000000 0.0032584169 -0.0011859668 0.1790026846 -3500.0000000000 0.0000000000 3000.0000000000 0.0002165970 -0.0000000000 FLYING
0.0600000000 0.0047913363 -0.0017439038 0.2605820914 -3500.0000000000 0.0000000000 3000.0000000000 0.0001521571 0.0000000000 FLYING
0.0700000000 0.0069810437 -0.0025408921 0.3762342778 -3500.0000000000 0.0000000000 3000.0000000000 0.0001048944 0.0000000000 FLYING
0.0800000000 0.0098339058 -0.0035792490 0.5261311402 -3500.0000000000 0.0000000000 3000.0000000000 0.0000710178 0.0000000000 FLYING
0.0900000000 0.0133541010 -0.0048604953 0.7104448824 -3500.0000000000 0.0000000000 3000.0000000000 0.0000443043 -0.0000000000 FLYING
0.1000000000 0.0175440335 -0.0063855060 0.9293480065 -3500.0000000000 0.0000000000 3000.0000000000 0.0000218639 -0.0000000000 FLYING
0.1100000000 0.0224045481 -0.0081545886 1.1830133081 -3500.0000000000 0.0000000000 3000.0000000000 0.0000021699 -0.0000000000 FLYING
0.1200000000 0.0279350506 -0.0101675269 1.4716138723 -3500.0000000000 0.0000000000 3000.0000000000 -0.0000156604 -0.0000000000 FLYING
0.1300000000 0.0341335802 -0.0124236072 1.7953230718 -3500.0000000000 0.0000000000 3000.0000000000 -0.0000321734 -0.0000000000 FLYING
0.1400000000 0.0409968532 -0.0149216343 2.1543145651 -3500.0000000000 0.0000000000 3000.0000000000 -0.0000477254 -0.0000000000 FLYING
0.1500000000 0.0485202886 -0.0176599408 2.5487622946 -3500.0000000000 0.0000000000 3000.0000000000 -0.0000625590 -0.0000000000 FLYING
0.1600000000 0.0566980228 -0.0206363927 2.9788404852 -3500.0000000000 0.0000000000 3000.0000000000 -0.0000768449 -0.0000000004 FLYING
0.1700000000 0.0655229162 -0.0238483914 3.4447236427 -3500.0000000000 0.0000000000 3000.0000000000 -0.0000907070 -0.0000000025 FLYING
0.1800000000 0.0749865535 -0.0272928753 3.9465865525 -3500.0000000000 0.0000000000 3000.0000000000 -0.0001042372 -0.0000000156 FLYING
0.1900000000 0.0850792395 -0.0309663232 4.4846042782 -3500.0000000000 0.0000000000 3000.0000000000 -0.0001175054 -0.0000000905 FLYING
0.2000000000 0.0957899818 -0.0348647812 5.0589521599 -3500.0000000000 0.0000000000 3000.0000000000 -0.0001305653 -0.0000004984 FLYING
