tgtE tgtN tgtU tof posE posN posU range velE velN velU u v w speed mach accE accN accU udot vdot wdot ENUToFLU_0_0 ENUToFLU_0_1 ENUToFLU_0_2 ENUToFLU_1_0 ENUToFLU_1_1 ENUToFLU_1_2 ENUToFLU_2_0 ENUToFLU_2_1 ENUToFLU_2_2 alphaRadians betaRadians alphaDegrees betaDegrees phi theta psi phiDot thetaDot psiDot p q r pdot qdot rdot gravity axialGravity sideGravity normalGravity pressure dynamicPressure seekerPitch seekerYaw seekerENUToFLU_0_0 seekerENUToFLU_0_1 seekerENUToFLU_0_2 seekerENUToFLU_1_0 seekerENUToFLU_1_1 seekerENUToFLU_1_2 seekerENUToFLU_2_0 seekerENUToFLU_2_1 seekerENUToFLU_2_2 seekerPitchError seekerYawError seekerWLR seekerWLRD seekerWLR1 seekerWLR1D seekerWLR2 seekerWLR2D seekerWLQ seekerWLQD seekerWLQ1 seekerWLQ1D seekerWLQ2 seekerWLQ2D missileToInterceptRelativePositionForward missileToInterceptRelativePositionLeft missileToInterceptRelativePositionUp guidanceNormalCommand guidanceSideCommand accelerationLimit controlYY controlYYD controlZZ controlZZD rollFinCommand pitchFinCommand yawFinCommand rollFinDeflection pitchFinDeflection yawFinDeflection finOneDeflection finOneDeflectionDerived finOneRate finOneRateDerived finTwoDeflection finTwoDeflectionDerived finTwoRate finTwoRateDerived finThreeDeflection finThreeDeflectionDerived finThreeRate finThreeRateDerived finFourDeflection finFourDeflectionDerived finFourRate finFourRateDerived alphaPrimeRadians alphaPrimeDegrees sinPhiPrime cosPhiPrime rollFinDeflectionDegrees pitchFinDeflectionDegreesAeroBallisticFrame yawFinDeflectionDegreesAeroBallisticFrame totalFinDeflectionDegrees pitchRateDegreesAeroBallisticFrame yawRateDegreesAeroBallisticFrame rollRateDegrees sinOfFourTimesPhiPrime squaredSinOfTwoTimesPhiPrime CA0 CAA CAD CAOFF CYP CYDR CN0 CNP CNDQ CLLAP CLLP CLLDP CLM0 CLMP CLMQ CLMDQ CLNP mass unadjustedThrust transverseMomentOfInertia axialMomentOfInertia centerOfGravityFromNose thrust CX CY CZ CL CM CN CNA CMA CND CMD CMQ CLP CLD staticMargin missDistance lethality launch
-2000.0000000000 0.0000000000 3000.0000000000 0.0010000000 0.0000164186 -0.0000059759 0.0009960857 0.0009962389 0.0164562308 -0.0059895782 0.9934751561 0.9936294777 0.0000000000 -0.0001711556 0.9936293771 0.0029198630 0.1129957752 -0.0411270988 -2.9180037575 -2.9154607215 -0.0000000000 -0.1711554656 0.0163998975 -0.0059690746 0.9998476952 0.3420201433 0.9396926208 0.0000000000 -0.9395495010 0.3419680520 0.0174524064 0.0001722530 0.0000000000 0.0098693680 0.0000000000 0.0000000000 1.5533430343 -0.3490658504 0.0000000000 -0.0000000001 -0.0000000000 0.0000000000 -0.0000000001 0.0000000000 -0.0000000000 -0.0000001071 -0.0000000000 9.8070000000 -9.8055063464 0.0000000000 -0.1711557499 101469.0000000000 0.6052144948 0.0000040203 -0.0000035872 0.0163948934 -0.0059710706 0.9998477653 0.3420202022 0.9396925994 0.0000035866 -0.9395495670 0.3419680760 0.0174483868 0.1286350322 -0.1147758890 -0.0000035872 -0.0051082989 -0.0051082989 -6.0845893979 -9.7654065423 -3456.4724060147 0.0000040203 0.0057250693 0.0057250692 6.8192359392 10.9444740246 3873.8094037042 2966.7497323524 -342.0254644295 386.3007859927 0.0001244814 -0.0001100641 0.0009242655 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0001722530 0.0098693680 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000031 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0000559264 0.1369901306 0.0023686483 0.0000690856 0.1369901306 -0.0000039477 -0.1560065796 0.0840032898 -0.0038062863 -0.0003289789 -23.1551000000 -1.0519177553 0.0002763423 91.9378840000 635.2600000000 59.8032160000 0.3078000000 1.5356640000 633.4600000000 0.3428341946 0.0000000000 0.0023686483 -0.0000000000 -0.0038068403 -0.0000000000 6.8999031318 -11.0649625948 7.8489563202 -60.2704477717 -1326.6895042034 -8.9385185861 4.8130339701 1.6036402807 3011.2810712369 FLYING 1
-2000.0000000000 0.0000000000 3000.0000000000 0.0020000000 0.0000329502 -0.0000119929 0.0019892536 0.0019895627 0.0166259042 -0.0060513343 0.9940126102 0.9941700013 0.0000000000 -0.0003423109 0.9941699448 0.0029214515 0.2263586509 -0.0823878112 3.9933734140 3.9969692415 -0.0000000000 -0.1711551809 0.0163998975 -0.0059690746 0.9998476952 0.3420201433 0.9396926208 0.0000000000 -0.9395495010 0.3419680520 0.0174524064 0.0003443183 0.0000000000 0.0197279873 0.0000000000 0.0000000000 1.5533430343 -0.3490658504 0.0000000000 -0.0000000002 -0.0000000000 0.0000000000 -0.0000000002 0.0000000000 -0.0000000000 -0.0000002143 -0.0000000000 9.8070000000 -9.8055063464 -0.0000000000 -0.1711557499 101469.0000000000 0.6058731879 0.0001237315 -0.0001104014 0.0162458860 -0.0060305057 0.9998498408 0.3420219518 0.9396919561 0.0001103846 -0.9395515184 0.3419688008 0.0173286937 0.1285995800 -0.1147115588 -0.0001104014 -0.0559197710 -0.0559197710 -18.3030565332 -20.4195536009 -1952.6020303895 0.0001237315 0.0626718157 0.0626718154 20.5133374930 22.8859323109 2189.0919422393 2966.9701908476 -342.1839348252 386.5849388571 0.0001248506 -0.0001102109 0.0009251724 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0003443183 0.0197279873 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000123 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0001117919 0.1369802720 0.0047347169 0.0001380959 0.1369802720 -0.0000078912 -0.1560131520 0.0840065760 -0.0076084271 -0.0006575996 -23.1551000000 -1.0518356001 0.0005523836 91.9194680000 1270.5200000000 59.8021320000 0.3078000000 1.5356280000 1268.7200000000 0.3426685698 -0.0000000000 0.0047347169 -0.0000000000 -0.0076106422 -0.0000000000 6.9242861375 -11.0813844447 7.8483914629 -60.2657406277 -1326.6895042034 -8.9388951576 4.8132222559 1.6003648932 3011.5527346507 FLYING 1
-2000.0000000000 0.0000000000 3000.0000000000 0.0030000000 0.0000497082 -0.0000180923 0.0029864152 0.0029868837 0.0169089632 -0.0061543593 1.0014628260 1.0016243395 0.0000000000 -0.0005134660 1.0016243556 0.0029433569 0.3397669448 -0.1236650545 10.9075199440 10.9121689849 -0.0000000000 -0.1711548900 0.0163998975 -0.0059690746 0.9998476952 0.3420201433 0.9396926208 0.0000000000 -0.9395495010 0.3419680520 0.0174524064 0.0005126333 0.0000000000 0.0293717240 0.0000000000 0.0000000000 1.5533430343 -0.3490658504 0.0000000000 -0.0000000005 -0.0000000000 0.0000000000 -0.0000000005 0.0000000000 -0.0000000000 -0.0000003240 -0.0000000000 9.8070000000 -9.8055063464 -0.0000000000 -0.1711557499 101469.0000000000 0.6149930774 0.0005624040 -0.0005018027 0.0156998599 -0.0062482889 0.9998572265 0.3420283298 0.9396895072 0.0005017263 -0.9395584793 0.3419716201 0.0168900854 0.1284696091 -0.1144758489 -0.0005018027 -0.1439504654 -0.1439504654 -24.9955335793 -26.0146480346 -906.2469868415 0.0005624040 0.1613408369 0.1613408364 28.0194077274 29.1649309231 1019.5575161593 2967.7798118836 -342.7650242315 387.6266924192 0.0001271444 -0.0001119766 0.0009390042 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0005126333 0.0293717240 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000277 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0001664398 0.1369706283 0.0070492138 0.0002056021 0.1369706283 -0.0000117487 -0.1560195811 0.0840097906 -0.0113276949 -0.0009790575 -23.1551000000 -1.0517552356 0.0008224083 91.9010520000 1905.7800000000 59.8010480000 0.3078000000 1.5355920000 1903.9800000000 0.3425065550 -0.0000000000 0.0070492138 -0.0000000000 -0.0113326416 -0.0000000000 6.9481376812 -11.0974952772 7.8478389175 -60.2611360826 -1326.6895042034 -8.9392635213 4.8134064377 1.5971898927 3012.5503027064 FLYING 1
-2000.0000000000 0.0000000000 3000.0000000000 0.0040000000 0.0000668060 -0.0000243154 0.0039944845 0.0039951172 0.0173054533 -0.0062986699 1.0158285738 1.0159952630 0.0000000000 -0.0006846207 1.0159953781 0.0029855874 0.4532206786 -0.1649588366 17.8244374852 17.8301401613 -0.0000000000 -0.1711545869 0.0163998975 -0.0059690746 0.9998476952 0.3420201433 0.9396926208 0.0000000000 -0.9395495010 0.3419680520 0.0174524064 0.0006738424 0.0000000000 0.0386083252 0.0000000000 0.0000000000 1.5533430343 -0.3490658504 0.0000000000 -0.0000000009 -0.0000000000 0.0000000000 -0.0000000009 0.0000000000 -0.0000000000 -0.0000004382 -0.0000000000 9.8070000000 -9.8055063464 -0.0000000000 -0.1711557499 101469.0000000000 0.6327671709 0.0014430081 -0.0012874201 0.0146037668 -0.0066853785 0.9998710095 0.3420409734 0.9396841573 0.0012872237 -0.9395715526 0.3419780551 0.0160096017 0.1282089116 -0.1140032488 -0.0012874201 -0.2506387299 -0.2506387299 -27.8598935874 -28.1333503029 -198.0745472417 0.0014430081 0.2809697278 0.2809697269 31.2506192950 31.5660399250 231.7905767554 2969.4018962960 -343.9332922244 389.7202940345 0.0001314960 -0.0001154360 0.0009660578 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0006738424 0.0386083252 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000495 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0002187805 0.1369613917 0.0092659980 0.0002702583 0.1369613917 -0.0000154433 -0.1560257389 0.0840128694 -0.0148899441 -0.0012869442 -23.1551000000 -1.0516782640 0.0010810331 91.8826360000 2541.0400000000 59.7999640000 0.3078000000 1.5355560000 2539.2400000000 0.3423513801 -0.0000000000 0.0092659980 -0.0000000000 -0.0148986134 -0.0000000000 6.9709822697 -11.1130060330 7.8473096992 -60.2567259304 -1326.6895042034 -8.9396163334 4.8135828438 1.5941807916 3014.5513163337 FLYING 1
-2000.0000000000 0.0000000000 3000.0000000000 0.0050000000 0.0000843570 -0.0000307034 0.0050203784 0.0050211811 0.0178154197 -0.0064842825 1.0371126252 1.0372855442 0.0000000000 -0.0008557751 1.0372857815 0.0030481510 0.5667198735 -0.2062691651 24.7441276794 24.7508844128 -0.0000000000 -0.1711542657 0.0163998975 -0.0059690746 0.9998476952 0.3420201433 0.9396926208 0.0000000000 -0.9395495010 0.3419680520 0.0174524064 0.0008250139 0.0000000000 0.0472698168 0.0000000000 0.0000000000 1.5533430343 -0.3490658504 0.0000000000 -0.0000000014 -0.0000000000 0.0000000000 -0.0000000014 0.0000000000 -0.0000000000 -0.0000005594 -0.0000000000 9.8070000000 -9.8055063464 -0.0000000000 -0.1711557500 101469.0000000000 0.6595645788 0.0028193635 -0.0025149612 0.0128906894 -0.0073681796 0.9998897640 0.3420603067 0.9396746370 0.0025145755 -0.9395895788 0.3419901848 0.0146334156 0.1278021001 -0.1132662454 -0.0025149612 -0.3633078150 -0.3633078150 -28.1528324806 -27.9376957265 263.2883241015 0.0028193635 0.4074345059 0.4074345045 31.6258202277 31.4014083519 -277.3137623563 2971.9265185385 -345.7638152883 392.9988013444 0.0001380602 -0.0001206901 0.0010068996 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0008250139 0.0472698168 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000780 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0002678623 0.1369527302 0.0113447560 0.0003308887 0.1369527302 -0.0000189079 -0.1560315132 0.0840157566 -0.0182303927 -0.0015756606 -23.1551000000 -1.0516060849 0.0013235549 91.8642200000 3176.3000000000 59.7988800000 0.3078000000 1.5355200000 3174.5000000000 0.3422058671 -0.0000000000 0.0113447560 -0.0000000000 -0.0182436593 -0.0000000000 6.9924044581 -11.1276636744 7.8468134323 -60.2525903728 -1326.6895042034 -8.9399471780 4.8137482661 1.5913930238 3017.6725974521 FLYING 1
-2000.0000000000 0.0000000000 3000.0000000000 0.0060000000 0.0001024747 -0.0000372977 0.0060710167 0.0060719963 0.0184389082 -0.0067112137 1.0653177539 1.0654979568 0.0000000000 -0.0010269292 1.0654983359 0.0031310559 0.6802645507 -0.2475960479 31.6665921578 31.6744033707 0.0000000000 -0.1711539204 0.0163998975 -0.0059690746 0.9998476952 0.3420201433 0.9396926208 0.0000000000 -0.9395495010 0.3419680520 0.0174524064 0.0009638020 -0.0000000000 0.0552217846 -0.0000000000 0.0000000000 1.5533430343 -0.3490658504 0.0000000000 -0.0000000020 -0.0000000000 0.0000000000 -0.0000000020 0.0000000000 0.0000000000 -0.0000006896 0.0000000000 9.8070000000 -9.8055063464 -0.0000000000 -0.1711557500 101469.0000000000 0.6959307495 0.0046990158 -0.0041904795 0.0105514224 -0.0082997565 0.9999098867 0.3420858636 0.9396593570 0.0041898290 -0.9396094558 0.3420108285 0.0127539722 0.1272478394 -0.1122631156 -0.0041904795 -0.4735938795 -0.4735938795 -26.7890568800 -26.2709157534 546.7796994860 0.0046990158 0.5314806270 0.5314806250 30.1773243209 29.6222016083 -586.0844564956 2975.3525099354 -348.2723078260 397.4884724867 0.0001470294 -0.0001278728 0.0010623659 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0009638020 0.0552217846 -0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000001138 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0003129234 0.1369447782 0.0132532283 0.0003865525 0.1369447782 -0.0000220887 -0.1560368145 0.0840184073 -0.0212972016 -0.0018407262 -23.1551000000 -1.0515398185 0.0015462100 91.8458040000 3811.5600000000 59.7977960000 0.3078000000 1.5354840000 3809.7600000000 0.3420722740 0.0000000000 0.0132532283 0.0000000000 -0.0213157973 0.0000000000 7.0120718042 -11.1412652032 7.8463578181 -60.2487935878 -1326.6895042034 -8.9402509208 4.8139001375 1.5888692407 3021.9221109316 FLYING 1
-2000.0000000000 0.0000000000 3000.0000000000 0.0070000000 0.0001212726 -0.0000441396 0.0071533219 0.0071544863 0.0191759640 -0.0069794801 1.1004467348 1.1006352764 0.0000000000 -0.0011980830 1.1006358126 0.0032343104 0.7938547312 -0.2889394925 38.5918325410 38.6006986556 -0.0000000000 -0.1711535451 0.0163998975 -0.0059690746 0.9998476952 0.3420201433 0.9396926208 0.0000000000 -0.9395495010 0.3419680520 0.0174524064 0.0010885374 0.0000000000 0.0623685962 0.0000000000 0.0000000000 1.5533430343 -0.3490658504 0.0000000000 -0.0000000027 -0.0000000000 0.0000000000 -0.0000000027 0.0000000000 -0.0000000000 -0.0000008312 -0.0000000000 9.8070000000 -9.8055063464 -0.0000000000 -0.1711557500 101469.0000000000 0.7425877047 0.0070598931 -0.0062931358 0.0076137888 -0.0094679967 0.9999261909 0.3421165768 0.9396364493 0.0062921358 -0.9396266695 0.3420434185 0.0103933521 0.1265538311 -0.1110088381 -0.0062931358 -0.5762535740 -0.5762535740 -24.4256233887 -23.7364463009 704.0711553738 0.0070598931 0.6473709276 0.6473709249 27.6443745354 26.9064917008 -753.4959825798 2979.6193733233 -351.4363803441 403.1475535440 0.0001586433 -0.0001371552 0.0011335639 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0010885374 0.0623685962 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000001573 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0003534220 0.1369376314 0.0149684631 0.0004365802 0.1369376314 -0.0000249474 -0.1560415791 0.0840207895 -0.0240534886 -0.0020789532 -23.1551000000 -1.0514802617 0.0017463207 91.8273880000 4446.8200000000 59.7967120000 0.3078000000 1.5354480000 4445.0200000000 0.3419522076 -0.0000000000 0.0149684631 -0.0000000000 -0.0240779875 -0.0000000000 7.0297477834 -11.1536656089 7.8459483360 -60.2453812366 -1326.6895042034 -8.9405239089 4.8140366315 1.5866380918 3027.2375343275 FLYING 1
-2000.0000000000 0.0000000000 3000.0000000000 0.0080000000 0.0001408645 -0.0000512705 0.0082742191 0.0082755774 0.0200266328 -0.0072890982 1.1425023448 1.1427002801 0.0000000000 -0.0013692363 1.1427009845 0.0033579224 0.9074904360 -0.3302995066 45.5198504386 45.5297718775 -0.0000000000 -0.1711531339 0.0163998976 -0.0059690746 0.9998476952 0.3420201433 0.9396926208 0.0000000000 -0.9395495010 0.3419680520 0.0174524064 0.0011982458 0.0000000000 0.0686544257 0.0000000000 0.0000000000 1.5533430343 -0.3490658504 0.0000000000 -0.0000000037 -0.0000000000 -0.0000000000 -0.0000000037 0.0000000000 -0.0000000000 -0.0000009864 -0.0000000000 9.8070000000 -9.8055063464 -0.0000000000 -0.1711557500 101469.0000000000 0.8004342761 0.0098622431 -0.0087858085 0.0041278130 -0.0108514882 0.9999326009 0.3421510276 0.9396039109 0.0087843573 -0.9396359058 0.3420917067 0.0075913571 0.1257331535 -0.1095284139 -0.0087858085 -0.6682684944 -0.6682684944 -21.5267811026 -20.7586018846 773.6069282585 0.0098622431 0.7518648712 0.7518648676 24.5460394805 23.7276872999 -823.5092612869 2984.6312136129 -355.2102981141 409.8934504947 0.0001731951 -0.0001487485 0.0012218722 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0011982458 0.0686544257 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000002093 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0003890417 0.1369313456 0.0164770622 0.0004805810 0.1369313456 -0.0000274618 -0.1560457696 0.0840228848 -0.0264777235 -0.0022884809 -23.1551000000 -1.0514278798 0.0019223239 91.8089720000 5082.0800000000 59.7956280000 0.3078000000 1.5354120000 5080.2800000000 0.3418466056 -0.0000000000 0.0164770622 -0.0000000000 -0.0265085381 -0.0000000000 7.0452943230 -11.1647795227 7.8455881845 -60.2423799741 -1326.6895042034 -8.9407640099 4.8141566820 1.5847144223 3033.5145422293 FLYING 1
-2000.0000000000 0.0000000000 3000.0000000000 0.0090000000 0.0001613638 -0.0000587316 0.0094406364 0.0094421987 0.0209909601 -0.0076400847 1.1914873621 1.1916957466 0.0000000000 -0.0015403892 1.1916966262 0.0035019002 1.0211716856 -0.3716760976 52.4506474497 52.4616246354 -0.0000000000 -0.1711526809 0.0163998976 -0.0059690746 0.9998476952 0.3420201433 0.9396926208 0.0000000000 -0.9395495010 0.3419680520 0.0174524065 0.0012926022 0.0000000000 0.0740606484 0.0000000000 0.0000000000 1.5533430343 -0.3490658504 0.0000000000 -0.0000000047 -0.0000000000 0.0000000000 -0.0000000047 0.0000000000 -0.0000000000 -0.0000011575 -0.0000000000 9.8070000000 -9.8055063464 -0.0000000000 -0.1711557501 101469.0000000000 0.8705463404 0.0130570226 -0.0116225950 0.0001552882 -0.0124236948 0.9999228109 0.3421876478 0.9395597779 0.0116205632 -0.9396316244 0.3421594301 0.0043971375 0.1248016481 -0.1078520574 -0.0116225950 -0.7481773740 -0.7481773740 -18.4135918368 -17.6289502121 783.7471831513 0.0130570226 0.8434553296 0.8434553249 21.2376677915 20.4074331119 -828.5237486459 2990.2742432396 -359.5351055132 417.6214480433 0.0001910360 -0.0001629059 0.0013289412 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0012926022 0.0740606484 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000002706 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0004196770 0.1369259394 0.0177745556 0.0005184245 0.1369259394 -0.0000296243 -0.1560493738 0.0840246869 -0.0285627234 -0.0024686883 -23.1551000000 -1.0513828279 0.0020736982 91.7905560000 5717.3400000000 59.7945440000 0.3078000000 1.5353760000 5715.5400000000 0.3417557811 -0.0000000000 0.0177745556 -0.0000000000 -0.0286001112 -0.0000000000 7.0586653596 -11.1745774150 7.8452784307 -60.2397986929 -1326.6895042034 -8.9409705124 4.8142599333 1.5831006069 3040.6271089604 FLYING 1
-2000.0000000000 0.0000000000 3000.0000000000 0.0100000000 0.0001828843 -0.0000665644 0.0106595045 0.0106612820 0.0220689914 -0.0080324560 1.2474045666 1.2476244564 -0.0000000000 -0.0017115416 1.2476255144 0.0036662519 1.1348985006 -0.4130692731 59.3842251623 59.3962585176 0.0000000000 -0.1711521801 0.0163998976 -0.0059690746 0.9998476952 0.3420201433 0.9396926208 0.0000000000 -0.9395495010 0.3419680520 0.0174524065 0.0013718397 0.0000000000 0.0786006231 0.0000000000 0.0000000000 1.5533430343 -0.3490658504 -0.0000000000 -0.0000000060 0.0000000000 -0.0000000000 -0.0000000060 -0.0000000000 0.0000000000 -0.0000013466 0.0000000000 9.8070000000 -9.8055063464 -0.0000000000 -0.1711557501 101469.0000000000 0.9541770570 0.0165916480 -0.0147540060 -0.0042373934 -0.0141558696 0.9998908220 0.3422248738 0.9395022816 0.0147512238 -0.9396085250 0.3422500171 0.0008634499 0.1237761088 -0.1060118335 -0.0147540060 -0.8155821496 -0.8155821496 -15.3017159870 -14.5415817974 755.2035446497 0.0165916480 0.9218041165 0.9218041105 17.9542872615 17.1561985591 -792.1041590994 2996.4291535337 -364.3455015663 426.2173688963 0.0002125791 -0.0001799237 0.0014566942 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0013718397 0.0786006231 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000003423 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0004454035 0.1369213994 0.0188641495 0.0005502044 0.1369213994 -0.0000314402 -0.1560524004 0.0840262002 -0.0303136403 -0.0026200208 -23.1551000000 -1.0513449948 0.0022008174 91.7721400000 6352.6000000000 59.7934600000 0.3078000000 1.5353400000 6350.8000000000 0.3416795095 -0.0000000000 0.0188641495 0.0000000000 -0.0303577173 0.0000000000 7.0698939329 -11.1830778501 7.8450183093 -60.2376310147 -1326.6895042034 -8.9411439267 4.8143466404 1.5817886317 3048.4416612767 FLYING 1
