TOF RNG ALT THETA RATE ALPHA ALPHADOT RATEDOT WDOT
0.0000 0.0000 10000.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0100 12.0000 10000.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0200 24.0000 9999.9968 0.0000 0.0000 0.0003 0.0268 0.0000 0.0000
0.0300 36.0000 9999.9903 0.0000 -0.0000 0.0005 0.0268 -0.0019 0.0028
0.0400 48.0000 9999.9807 -0.0000 -0.0001 0.0008 0.0268 -0.0037 0.0056
0.0500 60.0000 9999.9678 -0.0000 -0.0001 0.0011 0.0267 -0.0056 0.0085
0.0600 72.0000 9999.9517 -0.0000 -0.0002 0.0013 0.0267 -0.0075 0.0113
0.0700 84.0000 9999.9325 -0.0000 -0.0003 0.0016 0.0266 -0.0093 0.0141
0.0800 96.0000 9999.9099 -0.0000 -0.0004 0.0019 0.0265 -0.0112 0.0170
0.0900 108.0000 9999.8842 -0.0000 -0.0005 0.0021 0.0264 -0.0131 0.0198
0.1000 120.0000 9999.8553 -0.0000 -0.0007 0.0024 0.0263 -0.0149 0.0226
0.1100 132.0000 9999.8231 -0.0000 -0.0008 0.0027 0.0261 -0.0168 0.0255
0.1200 144.0000 9999.7877 -0.0000 -0.0010 0.0029 0.0259 -0.0186 0.0283
0.1300 156.0000 9999.7491 -0.0000 -0.0012 0.0032 0.0258 -0.0204 0.0311
0.1400 168.0000 9999.7073 -0.0001 -0.0015 0.0034 0.0256 -0.0222 0.0339
0.1500 180.0000 9999.6623 -0.0001 -0.0017 0.0037 0.0253 -0.0240 0.0366
0.1600 192.0000 9999.6141 -0.0001 -0.0020 0.0039 0.0251 -0.0258 0.0394
0.1700 204.0000 9999.5627 -0.0001 -0.0022 0.0042 0.0248 -0.0276 0.0422
0.1800 216.0000 9999.5080 -0.0001 -0.0025 0.0044 0.0245 -0.0293 0.0449
0.1900 228.0000 9999.4501 -0.0002 -0.0028 0.0047 0.0243 -0.0311 0.0476
0.2000 240.0000 9999.3891 -0.0002 -0.0032 0.0049 0.0239 -0.0328 0.0502
0.2100 252.0000 9999.3248 -0.0002 -0.0035 0.0051 0.0236 -0.0345 0.0529
0.2200 264.0000 9999.2573 -0.0002 -0.0039 0.0054 0.0233 -0.0362 0.0555
0.2300 276.0000 9999.1866 -0.0003 -0.0042 0.0056 0.0229 -0.0378 0.0581
0.2400 288.0000 9999.1126 -0.0003 -0.0046 0.0058 0.0225 -0.0394 0.0606
0.2500 300.0000 9999.0355 -0.0004 -0.0050 0.0061 0.0221 -0.0410 0.0631
0.2600 312.0000 9998.9551 -0.0004 -0.0055 0.0063 0.0217 -0.0426 0.0656
0.2700 324.0000 9998.8716 -0.0005 -0.0059 0.0065 0.0213 -0.0442 0.0681
0.2800 336.0000 9998.7848 -0.0005 -0.0064 0.0067 0.0208 -0.0457 0.0704
0.2900 348.0000 9998.6949 -0.0006 -0.0068 0.0069 0.0204 -0.0472 0.0728
0.3000 360.0000 9998.6017 -0.0007 -0.0073 0.0071 0.0199 -0.0486 0.0751
0.3100 372.0000 9998.5053 -0.0007 -0.0078 0.0073 0.0194 -0.0500 0.0773
0.3200 384.0000 9998.4057 -0.0008 -0.0083 0.0075 0.0189 -0.0514 0.0795
0.3300 396.0000 9998.3029 -0.0009 -0.0089 0.0077 0.0184 -0.0528 0.0817
0.3400 408.0000 9998.1968 -0.0010 -0.0094 0.0078 0.0179 -0.0541 0.0838
0.3500 420.0000 9998.0876 -0.0011 -0.0100 0.0080 0.0173 -0.0554 0.0858
0.3600 432.0000 9997.9752 -0.0012 -0.0105 0.0082 0.0168 -0.0566 0.0878
0.3700 444.0000 9997.8595 -0.0013 -0.0111 0.0083 0.0162 -0.0578 0.0897
