tof posE posN posU tgtE tgtN tgtU normComm normAch sideComm sideAch p q r phi alpha beta fin1c fin2c fin3c fin4c fin1d fin2d fin3d fin4d
0.0 0.0 0.0 0.0 5000.0 5000.0 1000.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.005 0.0021969252088535254 0.0018434391324730621 0.004095760221444959 5000.0 5000.0 1000.0 -0.030327175793539173 -0.573576436351046 0.006318579050159184 0.0 0.0 0.0 0.0 0.0 0.029352638405496352 2.9854559814498476e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.01 0.004393849959956543 0.0036868778808478416 0.00794587276717213 5000.0 5000.0 1000.0 -9.327985952611968e-05 -0.5735718353272351 1.9059028751330498e-05 -5.122407142396677e-21 -1.9740932054462879e-22 -8.511978794574425e-08 -6.144212445392383e-23 0.0 0.06121543012858691 1.532222096782211e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.015 0.006590773688054639 0.005530315770819569 0.011550338554175699 5000.0 5000.0 1000.0 -8.155333839926432e-05 -0.5735675100204858 1.6332168509289115e-05 -2.596173298234904e-21 -5.69007944215049e-22 -2.3451802004983553e-07 -7.456961305922234e-23 -1.425788840567505e-24 0.09585107275448643 2.856033380249865e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.02 0.008787695860937621 0.007373752355810868 0.014909158442953792 5000.0 5000.0 1000.0 -7.052142300949082e-05 -0.5735632850617454 1.383452806709075e-05 -5.118775562223639e-21 -1.8239937887608764e-21 -4.064753279396857e-07 -3.876380447605872e-23 -4.8033107800430374e-24 0.13354314612973148 7.963456773036642e-17 -1.2377120058141726e-06 -1.2377120058141696e-06 -1.2377120058131477e-06 -1.2377120058131447e-06 0.0 0.0 0.0 0.0
0.025 0.010984615952441384 0.009217187194317631 0.018022333262430437 5000.0 5000.0 1000.0 -6.0016315986403014e-05 -0.5735590584483999 1.152638144928503e-05 -1.3403423965737631e-20 -5.394103310825142e-21 -6.365742644531432e-07 3.31748342822695e-23 -1.4200081959445217e-23 0.17459246802645192 6.822044059343164e-17 -3.460656231405812e-06 -3.460656231405808e-06 -3.460656231403172e-06 -3.4606562314031677e-06 -7.735700036338579e-08 -7.73570003633856e-08 -7.735700036332173e-08 -7.735700036332154e-08
0.030000000000000002 0.013181533426850427 0.01106061983682118 0.020889863824674584 5000.0 5000.0 1000.0 -4.9943281799009826e-05 -0.5735550828570364 9.384401249032913e-06 -1.0511941458337192e-20 -7.378422844858015e-21 -9.313799764134314e-07 6.15787230479256e-23 -4.0933705583582266e-23 0.21931023903205155 9.112718835041885e-17 -6.2280624810437385e-06 -6.228062481043737e-06 -6.2280624810358205e-06 -6.228062481035819e-06 -4.938092532665099e-07 -4.938092532665088e-07 -4.938092532661149e-07 -4.938092532661141e-07
0.035 0.015378447777962882 0.012904049858567714 0.02351175088955483 5000.0 5000.0 1000.0 -4.054942598552449e-05 -0.5735523715629112 7.449560864816714e-06 -1.3502641522788966e-20 -1.1091805183855712e-20 -1.2065186636136799e-06 2.0240037261467792e-22 -7.738610188911625e-23 0.07992094911715024 5.213432030420433e-17 -7.601638142489518e-06 -7.60163814248952e-06 -7.601638142465274e-06 -7.601638142465276e-06 -1.5960884985061213e-06 -1.5960884985061192e-06 -1.5960884985046775e-06 -1.5960884985046754e-06
0.04 0.021407980911767092 0.017963428887314017 0.03303320932803534 5000.0 5000.0 1000.0 -3.3293735748406815e-05 -0.5734906735778198 6.592720793467808e-06 -7.038501821763318e-20 -2.272233221745333e-20 -2.439826189069978e-06 4.1501054574175065e-22 -1.31399838733396e-22 0.054043869454720166 3.4102620912911427e-18 -1.1291954912496248e-06 -1.1291954912496252e-06 -1.1291954912461363e-06 -1.1291954912461367e-06 -3.470396427557043e-06 -3.4703964275570403e-06 -3.4703964275525066e-06 -3.470396427552504e-06
0.045 0.031270121307226714 0.026238747255762737 0.049454244015822796 5000.0 5000.0 1000.0 -0.000491147449130298 -0.5734154477863822 9.879470987999728e-05 -1.0927245981359185e-20 -1.3061579903863688e-20 -5.369322282052001e-06 2.9667543305360746e-22 -2.4204801522339997e-22 0.043165216064910035 -2.1962140992216193e-18 -3.6787741187112868e-06 -3.6787741187112893e-06 -3.6787741187094402e-06 -3.6787741187094428e-06 -5.265658319321066e-06 -5.265658319321063e-06 -5.265658319311631e-06 -5.26565831931163e-06
0.049999999999999996 0.04496485292815505 0.037729991507955536 0.07277485718463904 5000.0 5000.0 1000.0 -0.001482716614844836 -0.5733236472036034 0.00030028703745591635 1.4561320590781734e-20 1.67983233136921e-20 -1.0095564775321187e-05 4.67582372087113e-22 -3.052374234544707e-22 0.03717613922509673 -2.0605613339901702e-17 -5.392442486287368e-06 -5.392442486287372e-06 -5.3924424862854505e-06 -5.392442486285454e-06 -5.760087246972282e-06 -5.760087246972281e-06 -5.760087246959926e-06 -5.760087246959926e-06
0.05499999999999999 0.062492154774101485 0.05243714402242204 0.10299504881869469 5000.0 5000.0 1000.0 -0.0030039973337854776 -0.5732173584807531 0.0006107026244879463 2.2196811802933443e-19 7.236984113154651e-20 -1.6868451919768536e-05 3.1357717912327083e-21 -2.179069011199408e-22 0.033384892852503636 4.91330629523863e-18 -8.92153194342772e-06 -8.921531943427723e-06 -8.921531943426974e-06 -8.921531943426978e-06 -5.085461006689921e-06 -5.085461006689923e-06 -5.085461006679047e-06 -5.0854610066790494e-06
0.05999999999999999 0.08385200124525793 0.07036018331837275 0.14011481631533726 5000.0 5000.0 1000.0 -0.005056057798892807 -0.5730981741933608 0.0010303793516249005 -8.476869674663342e-20 1.0588040580451877e-19 -2.5992004000294478e-05 2.183125135577515e-21 1.663340568509901e-22 0.030768996492099174 2.4100596282789608e-17 -1.3400885213400252e-05 -1.3400885213400256e-05 -1.340088521340072e-05 -1.3400885213400723e-05 -4.568522401750848e-06 -4.568522401750851e-06 -4.5685224017443715e-06 -4.568522401744375e-06
0.06499999999999999 0.1090443624334293 0.09149908429985217 0.18413415421199003 5000.0 5000.0 1000.0 -0.007639278942239254 -0.5729675325705106 0.0015594437628049032 -5.533689303656569e-19 9.736384735123358e-20 -3.7768551653510824e-05 -4.36539815062982e-21 7.11325177706395e-22 0.028854999048981412 3.814256026475098e-18 -1.8652543014165216e-05 -1.865254301416523e-05 -1.8652543014166964e-05 -1.8652543014166977e-05 -5.477185237916782e-06 -5.4771852379167865e-06 -5.477185237914998e-06 -5.477185237915002e-06
0.06999999999999999 0.13806920439542864 0.11585381848514466 0.2350530539278674 5000.0 5000.0 1000.0 -0.010753648801405601 -0.5728270913945639 0.002197917531132128 -1.1397054159152456e-19 7.744257093273661e-20 -5.24978285011786e-05 -5.743584840824665e-21 1.1669720706029693e-21 0.027393597859419062 4.371332314303442e-18 -2.463545106058989e-05 -2.4635451060589897e-05 -2.4635451060591835e-05 -2.4635451060591842e-05 -8.41600423917113e-06 -8.416004239171135e-06 -8.41600423917258e-06 -8.416004239172583e-06
0.075 0.17092648946809624 0.14342435427110678 0.29287150346668217 5000.0 5000.0 1000.0 -0.014399153427866287 -0.5726787162890107 0.002945811587475231 -1.657862894715619e-19 3.266792635481025e-20 -7.047691238651915e-05 -7.772966663131252e-21 1.513171086123964e-21 0.026241031377064312 2.91320124400509e-17 -3.1327551457095835e-05 -3.132755145709582e-05 -3.132755145709718e-05 -3.132755145709716e-05 -1.3220862421426193e-05 -1.32208624214262e-05 -1.3220862421429008e-05 -1.3220862421429015e-05
0.08 0.20761617662309137 0.17421065723087298 0.357589487082037 5000.0 5000.0 1000.0 -0.018575776650938288 -0.5725244712200064 0.003803131664629372 -1.409586841688327e-18 -5.864695082551658e-20 -9.200081554677322e-05 -2.4681525677168624e-20 1.6210053134299866e-21 0.025308575308356437 2.891802136958978e-17 -3.8714593968162593e-05 -3.871459396816258e-05 -3.871459396816349e-05 -3.8714593968163474e-05 -1.9297992367875186e-05 -1.9297992367875193e-05 -1.929799236787795e-05 -1.9297992367877958e-05
0.085 0.248138221859925 0.20821269044364915 0.4292069849069071 5000.0 5000.0 1000.0 -0.023283499910974295 -0.5723666177142578 0.004769880699390619 -1.6772394254488904e-18 -1.4957777292379725e-19 -0.00011736304410586517 -4.5159832997230163e-20 1.1515255578989482e-21 0.02453850581853604 -1.5642087580298316e-18 -4.678621700549373e-05 -4.6786217005493716e-05 -4.678621700549407e-05 -4.6786217005494055e-05 -2.6057015625093102e-05 -2.6057015625093102e-05 -2.605701562509508e-05 -2.6057015625095084e-05
0.09000000000000001 0.2924925786370419 0.24543041485643344 0.5077239725473908 5000.0 5000.0 1000.0 -0.028522302157747252 -0.5722076208316315 0.005846060005050489 2.0833734050053611e-19 -1.735774013110682e-19 -0.00014685557806351545 -4.3857073999062127e-20 8.116218871920277e-23 0.02389164789070834 1.598727697139607e-17 -5.5534549420990014e-05 -5.553454942098996e-05 -5.5534549420989445e-05 -5.553454942098939e-05 -3.317770361206791e-05 -3.3177703612067906e-05 -3.3177703612068976e-05 -3.317770361206897e-05
0.09500000000000001 0.3406791983418169 0.28586378967839 0.5931404206399383 5000.0 5000.0 1000.0 -0.03429215978779076 -0.5720501550319205 0.007031669903600541 -1.2487223475812314e-18 -2.1727477763800595e-19 -0.00018076822008782667 -5.98852329186398e-20 -1.0998954193807014e-21 0.023340478935882154 1.8419847313048466e-17 -6.495348992296073e-05 -6.495348992296065e-05 -6.495348992295946e-05 -6.495348992295938e-05 -4.064248329920095e-05 -4.064248329920093e-05 -4.064248329920126e-05 -4.0642483299201245e-05
0.10000000000000002 0.39269803080033094 0.3295127728086018 0.6854562943712752 5000.0 5000.0 1000.0 -0.04059304660284852 -0.5718971042437426 0.008326710098766508 -1.6660364094725908e-18 -2.520013092655754e-19 -0.00021938768928434196 -8.138077994459847e-20 -2.6138901229649148e-21 0.022865096286210758 8.473106697288706e-19 -7.503802060662091e-05 -7.503802060662083e-05 -7.503802060661964e-05 -7.503802060661956e-05 -4.861196802677152e-05 -4.8611968026771487e-05 -4.861196802677126e-05 -4.8611968026771236e-05
0.10500000000000002 0.4485490248269023 0.37637732129718227 0.7846715529610592 5000.0 5000.0 1000.0 -0.047424933779220343 -0.57175155533219 0.009731179916036163 1.247537511848099e-19 -2.245464262354909e-19 -0.0002629969224827583 -8.268118039168641e-20 -4.4550068554876385e-21 0.022450750887287 -2.4470166615166463e-17 -8.578351361360487e-05 -8.578351361360476e-05 -8.57835136136034e-05 -8.57835136136033e-05 -5.7267267186464027e-05 -5.726726718646397e-05 -5.7267267186463295e-05 -5.726726718646325e-05
0.11000000000000003 0.5082321288123158 0.426457391838858 0.8907861491082635 5000.0 5000.0 1000.0 -0.054787789842868515 -0.5716167885000331 0.01124507847090237 3.4283320902550178e-18 -1.0135082469068897e-19 -0.00031187481742864324 -4.572268132186871e-20 -6.168129269187131e-21 0.02208628065158313 -2.395463247740761e-17 -9.718520101113608e-05 -9.718520101113594e-05 -9.718520101113445e-05 -9.718520101113432e-05 -6.670885187377691e-05 -6.670885187377684e-05 -6.67088518737758e-05 -6.670885187377573e-05
0.11500000000000003 0.5717472913491961 0.47975294129771917 1.0038000284027317 5000.0 5000.0 1000.0 -0.06268158064811741 -0.5714962691854566 0.012868404797021131 3.68190550763021e-18 4.7925825027946514e-20 -0.0003662963330833529 -4.949547798475001e-21 -7.001359113725012e-21 0.021763082542667532 3.2915136135132853e-18 -0.00010923792887676199 -0.00010923792887676188 -0.00010923792887676058 -0.00010923792887676047 -7.693745812535605e-05 -7.693745812535597e-05 -7.693745812535467e-05 -7.693745812535459e-05
0.12000000000000004 0.6390944618931806 0.5362639272620099 1.1237131287031534 5000.0 5000.0 1000.0 -0.0711062693590537 -0.5713936438941182 0.014601157951549232 -5.269153625283012e-19 1.271190154111192e-19 -0.0004265326731578932 -1.1689393670616233e-20 -6.797054524730897e-21 0.021474418977769902 4.6213576743035594e-17 -0.000121936170531448 -0.00012193617053144795 -0.00012193617053144727 -0.00012193617053144722 -8.789208601415205e-05 -8.789208601415196e-05 -8.789208601415052e-05 -8.789208601415041e-05
0.12500000000000003 0.7102735914591467 0.5959903086283318 1.2505253794821571 5000.0 5000.0 1000.0 -0.08006181643286045 -0.5713127392756584 0.01644333710737606 -8.549164418202435e-18 5.253466869711969e-20 -0.0004928513007570062 -1.1087863869307837e-19 -6.244907959523349e-21 0.021214938220517107 2.777008488415458e-17 -0.0001352741671027297 -0.0001352741671027297 -0.00013527416710272958 -0.00013527416710272958 -9.950266790115844e-05 -9.950266790115833e-05 -9.950266790115692e-05 -9.95026679011568e-05
0.13000000000000003 0.7852846333522466 0.6589320462150555 1.3842367011387553 5000.0 5000.0 1000.0 -0.08954817960407482 -0.5712575618330603 0.018394941637825055 -5.35508015032726e-18 3.176649704806567e-20 -0.0005655156953328002 -1.7692313322743264e-19 -6.773948380615104e-21 0.020980335509463842 -2.0503448292666742e-17 -0.00014924605282794605 -0.00014924605282794605 -0.00014924605282794616 -0.00014924605282794616 -0.00011172543505335706 -0.00011172543505335695 -0.00011172543505335579 -0.00011172543505335568
0.13500000000000004 0.8641275439336092 0.7250891034048201 1.524847004278285 5000.0 5000.0 1000.0 -0.0995653138687238 -0.5712322957980451 0.02045597119709322 5.314280486586162e-18 1.8800662120783286e-19 -0.0006447849338571646 -1.2429041604258291e-19 -7.878412434558546e-21 0.02076710898888206 9.845193700698816e-18 -0.0001638458866503493 -0.0001638458866503492 -0.00016384588665034893 -0.00016384588665034882 -0.00012455076133527314 -0.00012455076133527306 -0.00012455076133527235 -0.00012455076133527227
0.14000000000000004 0.9468022834202846 0.7944614468157671 1.6723561889602454 5000.0 5000.0 1000.0 -0.11011317146761929 -0.571241298278494 0.022626425798424898 -2.017710738222214e-18 1.6636528018565914e-19 -0.000730913255781478 -1.5257589336263123e-19 -7.825836423272321e-21 0.02057238087688332 2.5632046556316897e-17 -0.0001790675931882888 -0.0001790675931882886 -0.00017906759318828821 -0.000179067593188288 -0.00013799099616936317 -0.00013799099616936312 -0.00013799099616936287 -0.00013799099616936285
0.14500000000000005 1.0333088167185844 0.8670490470007957 1.8267641439148328 5000.0 5000.0 1000.0 -0.12119170186863445 -0.5712890924635897 0.024906305891320674 -6.463664969633993e-18 3.2874367853082434e-20 -0.0008241497382034462 -2.319356063392924e-19 -8.083426987569557e-21 0.02039376439338911 4.8795902458436075e-17 -0.00019490486662884887 -0.00019490486662884876 -0.0001949048666288487 -0.0001949048666288486 -0.00015206250120183024 -0.00015206250120183018 -0.00015206250120183024 -0.0001520625012018302
0.15000000000000005 1.1236471142896591 0.9428518791738678 1.9880707457292506 5000.0 5000.0 1000.0 -0.13280085174824485 -0.571380360445486 0.027295612438679555 -1.369640365947516e-17 -2.339435049615518e-19 -0.0009247381143198181 -3.953914541197953e-19 -9.575115149560337e-21 0.020229263345254395 8.28376884467721e-18 -0.0002113510949529392 -0.00021135109495293904 -0.000211351094952939 -0.00021135109495293883 -0.00016677306507974896 -0.00016677306507974888 -0.00016677306507974893 -0.00016677306507974888
0.15500000000000005 1.2178171530460804 1.021869923962331 2.1562758580049435 5000.0 5000.0 1000.0 -0.14494056497269883 -0.5715199368897195 0.0297943469944736 -9.908136468646889e-19 -2.6381486498178934e-19 -0.0010329166842318312 -4.2635359941849613e-19 -1.356798856663996e-20 0.020077195386016874 3.285023229947634e-17 -0.00022839933360796347 -0.00022839933360796326 -0.00022839933360796282 -0.0002283993336079626 -0.00018211861469816723 -0.0001821186146981671 -0.00018211861469816704 -0.00018211861469816693
0.16000000000000006 1.315818917278323 1.1041031681843285 2.3313793304867843 5000.0 5000.0 1000.0 -0.1576107825790476 -0.5717128038603072 0.032402511782325796 -9.68485162063562e-18 -4.2615333676487386e-19 -0.0011489182359014233 -5.5524473756718385e-19 -1.7931231420205922e-20 0.019936132685201696 9.824978109648755e-17 -0.0002460423236084611 -0.00024604232360846075 -0.00024604232360845977 -0.00024604232360845945 -0.00019808697109806726 -0.00019808697109806707 -0.0001980869710980669 -0.00019808697109806675
0.16500000000000006 1.417652399610205 1.1895516056505089 2.513380998165086 5000.0 5000.0 1000.0 -0.17081144275597265 -0.5718019279123978 0.035120109775162986 -3.57794115864616e-17 -1.0319012720664843e-18 -0.0012913098393974593 -1.0414097114533409e-18 -2.4026390159869936e-20 0.019723521309546365 8.487348823070046e-17 -0.0002642725290939649 -0.00026427252909396446 -0.0002642725290939635 -0.00026427252909396305 -0.0002146638866542544 -0.0002146638866542542 -0.0002146638866542539 -0.00021466388665425368
0.17000000000000007 1.5237404213992023 1.2785700256059838 2.703068954843645 5000.0 5000.0 1000.0 -0.1888709318408451 -0.5721874011369046 0.038839276243061105 -3.0903528880563296e-17 -1.5365982519671064e-18 -0.0014438389141145855 -1.4944050334243225e-18 -3.6621421467693726e-20 0.01952687879638926 1.1033058441008112e-16 -0.00029793596003518344 -0.0002979359600351829 -0.0002979359600351817 -0.00029793596003518117 -0.00023183746117395445 -0.0002318374611739542 -0.00023183746117395366 -0.00023183746117395342
0.17500000000000007 1.634082999231881 1.3711584419685348 2.9004429714207602 5000.0 5000.0 1000.0 -0.20517456490355324 -0.5726616740161269 0.042198074298076475 -4.303878682288404e-17 -2.206493034297359e-18 -0.0016067547842260976 -2.1262425931643427e-18 -5.497405693844859e-20 0.019344397654692754 1.0992352326454423e-16 -0.0003215519286826849 -0.00032155192868268403 -0.00032155192868268175 -0.0003215519286826809 -0.0002505278101827842 -0.0002505278101827839 -0.00025052781018278307 -0.00025052781018278274
0.18000000000000008 1.7486801643055878 1.4673168809158441 3.1055027962392083 5000.0 5000.0 1000.0 -0.22215246088603985 -0.5732325482029884 0.045696183262027824 -4.3194691772082826e-17 -2.8405993065309905e-18 -0.001780264799235671 -2.7999816420322292e-18 -8.11869873451375e-20 0.019174531355339315 1.1577579610232159e-16 -0.0003457903198995662 -0.0003457903198995649 -0.00034579031989956187 -0.00034579031989956057 -0.00027246764587300783 -0.0002724676458730074 -0.0002724676458730063 -0.0002724676458730059
0.18500000000000008 1.8675319639203374 1.5670453821373365 3.31824815368944 5000.0 5000.0 1000.0 -0.23980452321446952 -0.5739074919823438 0.04933361179559083 -4.6320668055080525e-17 -3.431597032699628e-18 -0.0019645505898081175 -3.557174320123618e-18 -1.153801153112756e-19 0.019015948705825625 8.234532803459525e-17 -0.0003706398735062067 -0.00037063987350620495 -0.00037063987350620094 -0.0003706398735061992 -0.0002977787550365371 -0.00029777875503653645 -0.00029777875503653493 -0.0002977787550365343
0.19000000000000009 1.990638462926797 1.670344000049183 3.538678742853218 5000.0 5000.0 1000.0 -0.2581306507508317 -0.5746934616856231 0.053110370137468124 -2.6820021775727765e-17 -3.5395668373092704e-18 -0.0021598160208503104 -4.136095355436401e-18 -1.5793332930318107e-19 0.018867497220803952 4.094989675272023e-17 -0.0003960815874870233 -0.0003960815874870211 -0.0003960815874870161 -0.00039608158748701396 -0.0003247101950651708 -0.0003247101950651698 -0.00032471019506516766 -0.0003247101950651667
0.1950000000000001 2.117999745101471 1.7772128049482174 3.766794236213791 5000.0 5000.0 1000.0 -0.2771307378547402 -0.5755975499482117 0.05702647025642488 -6.512938707277244e-19 -2.9489087929221207e-18 -0.002366299215047009 -4.455773238875969e-18 -2.0515823002097475e-19 0.018728173963374447 6.2606749187233e-17 -0.0004220935379813031 -0.00042209353798130036 -0.0004220935379812947 -0.000422093537981292 -0.00035150776183828184 -0.0003515077618382805 -0.0003515077618382774 -0.00035150776183827604
