tof posE posN posU tgtE tgtN tgtU normComm normAch sideComm sideAch p q r phi alpha beta fin1c fin2c fin3c fin4c fin1d fin2d fin3d fin4d
0.0 100.0 100.0 1.0 3332.0 1665.0 4999.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.008 100.00557091392255 100.00098230243175 1.0056568542494924 3332.0 1665.0 4999.0 8.543697033360853e-06 -0.7071067811865476 7.67223241518704e-06 0.0 0.0 0.0 0.0 0.0 0.05878626864825544 6.120867121107516e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.016 100.0111418987628 100.0019646173682 1.0106849248430094 3332.0 1665.0 4999.0 1.0160485221559739e-05 -0.7070977586391815 6.781411210840576e-06 -1.0777942274690342e-21 -2.3616840081074037e-22 -2.476166210200383e-07 -1.1468349770587804e-23 0.0 0.12442034287365145 -6.343924417723343e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.024 100.01671295145043 100.00294694426798 1.0150842166880758 3332.0 1665.0 4999.0 1.1587650154288606e-05 -0.7070887776464977 5.969344199347481e-06 1.2341080797700552e-22 -1.8385720013151198e-22 -6.235028893341523e-07 -1.2655179404251743e-23 -1.9810940046506254e-24 0.1975003237066204 -9.119689328071772e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.032 100.02228406883529 100.00392928257563 1.018854734574065 3332.0 1665.0 4999.0 1.2859104603825247e-05 -0.7070807362588196 5.234498876236559e-06 1.595064379005318e-21 4.087063058942495e-22 -1.1422289050216362e-06 -3.0928945156116955e-23 -3.5531930306538875e-24 0.2784480172239423 -1.0695598818462277e-17 -3.7622023988336496e-06 -3.7622023988336487e-06 -3.7622023988326916e-06 -3.7622023988326907e-06 0.0 0.0 0.0 0.0
0.04 100.02785524808412 100.00491163179156 1.0219964827776136 3332.0 1665.0 4999.0 1.4015941739900775e-05 -0.7070753304682076 4.574515676582902e-06 1.7360657472438545e-21 1.5658806030128998e-21 -1.6269895535622117e-06 -7.651845241088328e-23 -5.3097410883166995e-25 0.07893568020359365 -2.0735802327857238e-17 -4.998595350122362e-06 -4.998595350122362e-06 -4.998595350121435e-06 -4.998595350121435e-06 -6.01952383813384e-07 -6.019523838133838e-07 -6.019523838132307e-07 -6.019523838132306e-07
0.048 100.04897637279443 100.0086358559409 1.0402992315067259 3332.0 1665.0 4999.0 2.6750024235903662e-05 -0.7069345138119894 1.638532662041674e-05 5.691067136472031e-20 1.9644016922367642e-20 -5.616407653437163e-06 -3.232899867627955e-22 1.138392312261504e-23 0.05331403920064843 -1.5824565829728003e-17 -7.569572480445179e-07 -7.569572480445179e-07 -7.569572480446024e-07 -7.569572480446024e-07 -2.774179074927477e-06 -2.7741790749274767e-06 -2.7741790749268266e-06 -2.7741790749268257e-06
0.056 100.0856473637919 100.01510194106307 1.0737630253168575 3332.0 1665.0 4999.0 0.0004343996984982342 -0.7067513336013314 0.0002971174833582124 1.1714496922065567e-19 4.737110191436616e-20 -1.6095784462313163e-05 1.761269677102704e-21 1.6594973824660107e-22 0.04327240287444594 9.965295320352888e-18 -3.310947988470917e-06 -3.310947988470916e-06 -3.3109479884710252e-06 -3.3109479884710244e-06 -5.0789881248131666e-06 -5.0789881248131666e-06 -5.0789881248121e-06 -5.078988124812099e-06
0.064 100.13786809800854 100.02430986545787 1.122387901751015 3332.0 1665.0 4999.0 0.0008584793712794422 -0.7065205831716356 0.0006150463804361554 -1.5512908620063436e-19 3.309705930259924e-20 -3.384685340599798e-05 -1.1444898178589462e-21 5.590086875227615e-22 0.03791311722922779 -1.3038923988665292e-17 -8.117024366608537e-06 -8.117024366608537e-06 -8.117024366609235e-06 -8.117024366609235e-06 -4.651722627931107e-06 -4.651722627931107e-06 -4.651722627930436e-06 -4.651722627930436e-06
0.07200000000000001 100.20563840652792 100.03625959934077 1.1861738931176613 3332.0 1665.0 4999.0 0.0014250851782099403 -0.7062516843924855 0.0010474253807782616 3.366719745690772e-19 6.078200188274392e-20 -6.0300163601496725e-05 5.322357717964209e-21 8.14629095749275e-22 0.034579504603252584 -1.3312755448147997e-17 -1.7293802754199775e-05 -1.7293802754199782e-05 -1.7293802754200853e-05 -1.729380275420086e-05 -2.83895268362461e-06 -2.8389526836246095e-06 -2.8389526836250585e-06 -2.8389526836250593e-06
0.08000000000000002 100.2889580794373 100.05095110569849 1.2651210214314537 3332.0 1665.0 4999.0 0.002134214672934999 -0.7059535042598034 0.0015942647160710989 5.120964621835141e-19 7.265316361187035e-20 -9.698261270062316e-05 1.5353163194251582e-20 1.3434635392469116e-21 0.03230479805219353 -1.4982714741609316e-17 -2.8920550054002845e-05 -2.8920550054002845e-05 -2.8920550054003367e-05 -2.8920550054003367e-05 -5.419388732237749e-06 -5.41938873223775e-06 -5.419388732239196e-06 -5.4193887322391965e-06
0.08800000000000002 100.38782687051113 100.06838434111484 1.3592292934829304 3332.0 1665.0 4999.0 0.0029858687840099585 -0.705636306304022 0.0022555773868330555 8.012712562135844e-19 8.557799362432884e-20 -0.00014538663639421522 3.127734285106468e-20 2.0475128765161775e-21 0.030652855137374948 -1.067299111675447e-17 -4.279498443697658e-05 -4.2794984436976595e-05 -4.2794984436977313e-05 -4.279498443697733e-05 -1.6510117874694024e-05 -1.651011787469403e-05 -1.651011787469556e-05 -1.6510117874695562e-05
0.09600000000000003 100.50224450266465 100.08855925673228 1.4684986950938843 3332.0 1665.0 4999.0 0.003980051326839843 -0.7053119595641832 0.0030313792569892366 7.270119826941847e-19 1.090097937689315e-19 -0.0002069751663819841 4.6462459512107136e-20 2.9823523201946927e-21 0.029398041377546768 -2.0361598988036718e-17 -5.8875033381453344e-05 -5.887503338145337e-05 -5.887503338145409e-05 -5.887503338145412e-05 -3.398372079437349e-05 -3.3983720794373505e-05 -3.398372079437419e-05 -3.3983720794374196e-05
0.10400000000000004 100.63221067428265 100.11147579936792 1.5929291844558664 3332.0 1665.0 4999.0 0.005116769502318353 -0.7049937170679057 0.003921689117412995 1.8502476260322315e-18 2.3574753784278636e-19 -0.00028321270619797393 8.371713914177334e-20 4.226123256190653e-21 0.02841190240993596 -9.73152888329975e-18 -7.712085281975254e-05 -7.71208528197526e-05 -7.712085281975333e-05 -7.712085281975338e-05 -5.161525088460255e-05 -5.1615250884602575e-05 -5.161525088460244e-05 -5.1615250884602453e-05
0.11200000000000004 100.77772506632279 100.13713391276599 1.7325206846548904 3332.0 1665.0 4999.0 0.006396034691871084 -0.704696385589271 0.004926528720389043 9.431429732528689e-19 3.003552947308328e-19 -0.0003755781552172586 1.06093680541771e-19 6.781825001432972e-21 0.027615930982937506 -7.575923153230596e-18 -9.749622432938587e-05 -9.749622432938592e-05 -9.749622432938671e-05 -9.749622432938676e-05 -6.583960147673759e-05 -6.583960147673763e-05 -6.583960147673763e-05 -6.583960147673766e-05
0.12000000000000005 100.93878735026338 100.16553353899924 1.8872730753099092 3332.0 1665.0 4999.0 0.007817863429820344 -0.7044367459104651 0.006045922791073399 7.935412909646978e-19 2.7821655378028534e-19 -0.00048552416419651 1.2754416289801452e-19 1.0033384856205898e-20 0.026959442096670946 -1.8425303779414268e-17 -0.000119979998948733 -0.00011997999894873311 -0.00011997999894873433 -0.00011997999894873444 -7.943412117635324e-05 -7.943412117635329e-05 -7.943412117635421e-05 -7.943412117635427e-05
0.12800000000000006 101.11539719707933 100.19667462005168 2.057186183137549 3332.0 1665.0 4999.0 0.009382278566432253 -0.7042335788178845 0.007279899032248655 2.867654422923387e-18 2.6791964991601977e-19 -0.0006144177325228119 1.894216965825828e-19 1.3279411577048271e-20 0.026408252232613373 -5.133355339037672e-18 -0.0001445641853533872 -0.0001445641853533873 -0.00014456418535338866 -0.00014456418535338877 -9.814842957864071e-05 -9.814842957864078e-05 -9.814842957864247e-05 -9.814842957864255e-05
0.13600000000000007 101.3075542872607 100.23055709958508 2.2422597714311245 3332.0 1665.0 4999.0 0.011089310603612578 -0.7041070113121888 0.008628488132351328 4.029465308797103e-19 1.0484691033613346e-19 -0.0007635388444604727 2.1043572948278936e-19 1.6938035541334192e-20 0.025938469772741113 -5.3317983630399576e-18 -0.00017123412639997787 -0.00017123412639997798 -0.00017123412639997917 -0.00017123412639997928 -0.00012423605571140712 -0.00012423605571140723 -0.0001242360557114089 -0.00012423605571140902
0.14400000000000007 101.51525832158691 100.2671809248388 2.4424935287506426 3332.0 1665.0 4999.0 0.012938999105573773 -0.7040778481353095 0.010091723773962284 5.161254992464891e-19 -5.154056879814593e-21 -0.0009341553904208639 2.35825720032463e-19 1.9460130507042237e-20 0.025532892108484435 -4.990572330869649e-18 -0.0001999517533328573 -0.00019995175333285746 -0.0001999517533328586 -0.00019995175333285876 -0.00015409467210621432 -0.00015409467210621445 -0.00015409467210621556 -0.00015409467210621567
0.15200000000000008 101.73850903235459 100.30654604860948 2.657887057132795 3332.0 1665.0 4999.0 0.014931394109741728 -0.7041678107324617 0.011669642633439406 4.729559119052997e-19 -6.79406230473465e-20 -0.0011275893412468789 2.631177835047896e-19 2.1305265084013846e-20 0.02517881693385471 -1.4014303715364477e-17 -0.0002306635711568644 -0.00023066357115686457 -0.00023066357115686533 -0.0002306635711568655 -0.00018242642922614526 -0.0001824264292261454 -0.00018242642922614605 -0.00018242642922614615
0.1600000000000001 101.97730619515046 100.34865243132703 2.888439859723138 3332.0 1665.0 4999.0 0.01706655760874177 -0.7044005591678748 0.013362284364436981 3.4671270574234854e-18 -2.120393576087482e-20 -0.001345176691358249 3.4713306947976276e-19 2.286635462828999e-20 0.024866661151433732 -1.598078939504217e-17 -0.0002633269365619763 -0.0002633269365619765 -0.00026332693656197704 -0.00026332693656197726 -0.00020808347718943496 -0.00020808347718943512 -0.00020808347718943583 -0.00020808347718943596
0.1680000000000001 102.23164964161232 100.39350004330463 3.134151327374382 3332.0 1665.0 4999.0 0.019344565261447483 -0.7046043921783385 0.01516969156472006 4.496917547566744e-18 -1.6493807480426405e-20 -0.0016239622987804295 4.746538822956909e-19 2.5473312696256636e-20 0.024429616985426575 -1.8050536093661214e-17 -0.00029792413689766446 -0.0002979241368976647 -0.0002979241368976651 -0.0002979241368976653 -0.00023511876621982073 -0.00023511876621982092 -0.00023511876621982192 -0.0002351187662198221
0.1760000000000001 102.50325475201163 100.44139135236632 3.396762698906191 3332.0 1665.0 4999.0 0.022032485598946206 -0.7053413842652948 0.017315710774723103 5.527888347960496e-18 1.973109997867838e-20 -0.001935140694537133 6.370671868486155e-19 2.9137867615344627e-20 0.024043408044959313 -6.440605641446538e-18 -0.0003520226573513212 -0.0003520226573513214 -0.0003520226573513218 -0.00035202265735132204 -0.0002680910555503315 -0.00026809105555033173 -0.0002680910555503327 -0.0002680910555503329
0.1840000000000001 102.7921215261557 100.49232635847814 3.6762729482985694 3332.0 1665.0 4999.0 0.02489557339969021 -0.7063663262146365 0.01960390908321384 -1.5946623524630502e-19 -5.678419685250358e-20 -0.002279849108214082 7.052662535426854e-19 3.4391140619439656e-20 0.023699300063263123 -1.6235314360757448e-17 -0.00039866752791674646 -0.0003986675279167468 -0.0003986675279167472 -0.00039866752791674754 -0.0003098248294034152 -0.0003098248294034154 -0.0003098248294034159 -0.00030982482940341617
0.19200000000000012 103.09825009214414 100.5463050842275 3.9726808469696087 3332.0 1665.0 4999.0 0.027934000390898245 -0.7077170610429119 0.022034348353660103 5.0962752200120695e-18 2.243441031310306e-19 -0.0026590736519464847 8.860790765371346e-19 3.9577462094972026e-20 0.023390434788627793 -3.685677864742734e-18 -0.0004473626566525146 -0.00044736265665251505 -0.0004473626566525156 -0.00044736265665251603 -0.0003608450115205907 -0.0003608450115205909 -0.0003608450115205909 -0.00036084501152059117
0.20000000000000012 103.42164072702279 100.60332757846504 4.285984942182203 3332.0 1665.0 4999.0 0.031147959346252644 -0.7094302143498942 0.024607094632612053 -2.939179931670456e-18 1.7769047640952432e-19 -0.0030738725033969037 9.375988414001026e-19 4.84586066833445e-20 0.02311135013008528 -2.053426312280352e-17 -0.0004980174007508699 -0.0004980174007508703 -0.0004980174007508708 -0.0004980174007508712 -0.0004156245213279532 -0.0004156245213279535 -0.00041562452132795353 -0.00041562452132795386
0.20800000000000013 103.76229387705278 100.66339391987866 4.616183535831931 3332.0 1665.0 4999.0 0.03453767529884692 -0.7115425581371195 0.027322217540075383 8.281462878773153e-18 3.1771490380582267e-19 -0.0035255962146775273 1.2110224668585597e-18 5.737793036569794e-20 0.022857640012554487 -2.993923486227797e-17 -0.0005505286843149715 -0.000550528684314972 -0.0005505286843149728 -0.0005505286843149733 -0.0004662395425695898 -0.0004662395425695902 -0.0004662395425695908 -0.00046623954256959116
0.21600000000000014 104.12021017815904 100.72650422059907 4.963274663017778 3332.0 1665.0 4999.0 0.038103408187440374 -0.7140955761512181 0.030179790235739357 1.4786824451793037e-17 5.24885850404297e-19 -0.004015667663019069 1.6413824271040774e-18 6.960341083587394e-20 0.022625712096792386 -3.4478024536337814e-17 -0.0006048279949016144 -0.0006048279949016148 -0.0006048279949016155 -0.0006048279949016159 -0.0005115284337394891 -0.0005115284337394897 -0.0005115284337394906 -0.0005115284337394912
0.22400000000000014 104.49539047854992 100.79265863018828 5.327256068338691 3332.0 1665.0 4999.0 0.04184545654456547 -0.7171360878219087 0.033179889343057684 1.7515132530319688e-17 8.193202779649528e-19 -0.004545123789434902 2.1723087290172255e-18 8.692678542346164e-20 0.022412611664705113 -3.069099064714568e-17 -0.0006609145076895876 -0.0006609145076895883 -0.0006609145076895889 -0.0006609145076895896 -0.0005581944498110572 -0.0005581944498110578 -0.0005581944498110588 -0.0005581944498110593
0.23200000000000015 104.88783586382971 100.86185734006764 5.708125179607482 3332.0 1665.0 4999.0 0.0457641619047553 -0.720711111834434 0.036322594821249624 1.2497922937683058e-17 1.2499803852137703e-18 -0.005114451518501903 2.6762372876728733e-18 1.108495381537258e-19 0.022215888137170906 -2.560014323493058e-17 -0.0007188004216841027 -0.0007188004216841036 -0.0007188004216841044 -0.0007188004216841053 -0.0006131430493391096 -0.0006131430493391101 -0.0006131430493391107 -0.0006131430493391112
0.24000000000000016 105.29754768239415 100.93410058799569 6.1058790812864325 3332.0 1665.0 4999.0 0.04985991250446583 -0.7248623255994967 0.039607989841242065 5.468670134569455e-18 1.6751410031279709e-18 -0.005723964785569454 3.1298091353398272e-18 1.422444184384367e-19 0.022033490228756825 -5.1197757553547966e-17 -0.0007784296730211113 -0.0007784296730211123 -0.0007784296730211134 -0.0007784296730211145 -0.0006758909920136432 -0.0006758909920136437 -0.000675890992013644 -0.0006758909920136446
0.24800000000000016 105.72452756864658 101.00938866216183 6.520514490178352 3332.0 1665.0 4999.0 0.05413314541032545 -0.729627028952771 0.04303616071525892 3.085327265277989e-17 2.706415894830118e-18 -0.0063743351641048236 4.072383377474995e-18 1.8066338356878614e-19 0.021863684451170033 -4.4962754910552527e-17 -0.0008396651385236388 -0.0008396651385236401 -0.0008396651385236414 -0.0008396651385236427 -0.0007393806284268861 -0.000739380628426887 -0.0007393806284268876 -0.0007393806284268884
0.25600000000000017 106.16877746436022 101.08772190495306 6.95202773299831 3332.0 1665.0 4999.0 0.058584348135100855 -0.7350453775981401 0.046607196855046516 1.933135624569754e-17 2.8522394970697855e-18 -0.00706664687782988 4.9652192224962e-18 2.348632087958529e-19 0.0217049950003287 -5.050745772081248e-17 -0.0009023641845710533 -0.0009023641845710546 -0.0009023641845710561 -0.0009023641845710574 -0.0007979402996640434 -0.0007979402996640447 -0.0007979402996640459 -0.0007979402996640471
0.2640000000000002 106.63029964128933 101.16910071694096 7.400414722591457 3332.0 1665.0 4999.0 0.06321406181747792 -0.7411655633162373 0.050321190682000215 2.1696913932098677e-17 2.6247960609985502e-18 -0.007801847989193915 6.023378562556955e-18 2.9735951712819343e-19 0.021556160575837917 -3.113782201401777e-17 -0.000966460161350972 -0.0009664601613509737 -0.0009664601613509757 -0.0009664601613509774 -0.0008533574123942538 -0.0008533574123942554 -0.0008533574123942571 -0.0008533574123942586
0.2720000000000002 107.1090967273322 101.25352556149491 7.8656709304306265 3332.0 1665.0 4999.0 0.06802288651151982 -0.748039843856486 0.05417823745892374 -1.0424041170545117e-17 1.349356726642833e-18 -0.008580188436885293 6.739897656405795e-18 3.664844193806044e-19 0.02141610048047049 -4.01674813028048e-17 -0.001031956437606139 -0.001031956437606141 -0.0010319564376061428 -0.001031956437606145 -0.000912505130721537 -0.0009125051307215384 -0.0009125051307215402 -0.0009125051307215419
