ID DRAW_TYPE DRAW_VALUE
0 NORMAL -0.283056
1 NORMAL 0.053237
2 NORMAL -0.003136
3 NORMAL -0.225973
4 NORMAL 0.400706
5 NORMAL -0.334227
6 NORMAL 0.203289
7 NORMAL -0.297057
8 NORMAL 0.160323
9 NORMAL -1.142746
10 NORMAL 1.017875
11 NORMAL 0.433246
12 NORMAL -0.478688
13 NORMAL 0.187670
14 NORMAL 0.426886
15 NORMAL 1.037676
16 NORMAL 0.777341
17 NORMAL -0.088724
18 NORMAL 0.782610
19 NORMAL 1.301253
20 NORMAL 0.014150
21 NORMAL 0.278110
22 NORMAL 0.488378
23 NORMAL 1.251108
24 NORMAL -0.322802
25 NORMAL 0.172503
26 NORMAL 0.532846
27 NORMAL 0.322154
28 NORMAL 0.115072
29 NORMAL 0.370422
30 NORMAL 0.036321
31 NORMAL -0.640216
32 NORMAL 0.381613
33 NORMAL 0.304487
34 NORMAL 0.549038
35 NORMAL 0.723651
36 NORMAL -0.135702
37 NORMAL 0.598904
38 NORMAL 0.526916
39 NORMAL -0.099064
40 NORMAL 0.150859
41 NORMAL -0.528529
42 NORMAL 0.231184
43 NORMAL 0.461254
44 NORMAL 0.194359
45 NORMAL -0.781447
46 NORMAL -0.036748
47 NORMAL -0.436364
48 NORMAL -0.369921
49 NORMAL -0.529479
50 NORMAL 0.522419
51 NORMAL -0.494009
52 NORMAL 0.682912
53 NORMAL -0.964436
54 NORMAL -0.476543
55 NORMAL 0.148754
56 NORMAL -0.089327
57 NORMAL -0.312280
58 NORMAL -0.382815
59 NORMAL -0.619634
60 NORMAL 0.027272
61 NORMAL -0.291824
62 NORMAL -0.264605
63 NORMAL -0.399695
64 NORMAL 0.173956
65 NORMAL -0.152100
66 NORMAL -0.302112
67 NORMAL -0.154127
68 NORMAL 0.276562
69 NORMAL 0.022838
70 NORMAL 0.265294
71 NORMAL -0.164211
72 NORMAL 0.375159
73 NORMAL -0.001233
74 NORMAL -0.437672
75 NORMAL 0.185176
76 NORMAL 0.232784
77 NORMAL -0.598758
78 NORMAL 1.108046
79 NORMAL -0.208219
80 NORMAL 0.289267
81 NORMAL 0.574356
82 NORMAL 0.545107
83 NORMAL 0.490981
84 NORMAL 0.930059
85 NORMAL 0.385913
