tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.0100000000 0.0068301270 0.0018301270 0.0070710678 3000.0000000000 0.0000000000 3000.0000000000 0.0427096032 0.0000000000 FLYING
0.0200000000 0.0183868232 0.0049267344 0.0180547418 3000.0000000000 0.0000000000 3000.0000000000 0.0245260051 0.0000000000 FLYING
0.0300000000 0.0398128311 0.0106678159 0.0374377229 3000.0000000000 0.0000000000 3000.0000000000 0.0148676173 -0.0000000000 FLYING
0.0400000000 0.0764028072 0.0204720705 0.0695581811 3000.0000000000 0.0000000000 3000.0000000000 0.0097250682 -0.0000000000 FLYING
0.0500000000 0.1335135538 0.0357748489 0.1187124015 3000.0000000000 0.0000000000 3000.0000000000 0.0090494940 0.0000000000 FLYING
0.0600000000 0.1958275272 0.0524718278 0.1713649951 3000.0000000000 0.0000000000 3000.0000000000 0.0064484242 0.0000000000 FLYING
0.0700000000 0.2843776541 0.0761987628 0.2452062057 3000.0000000000 0.0000000000 3000.0000000000 0.0050046475 0.0000000000 FLYING
0.0800000000 0.3994304442 0.1070270650 0.3401688399 3000.0000000000 0.0000000000 3000.0000000000 0.0040855056 0.0000000000 FLYING
0.0900000000 0.5412219454 0.1450199832 0.4562234116 3000.0000000000 0.0000000000 3000.0000000000 0.0034480635 0.0000000000 FLYING
0.1000000000 0.7099690378 0.1902356303 0.5933645665 3000.0000000000 0.0000000000 3000.0000000000 0.0029793962 0.0000000000 FLYING
0.1100000000 0.9058754455 0.2427285941 0.7516037855 3000.0000000000 0.0000000000 3000.0000000000 0.0026198537 0.0000000000 FLYING
0.1200000000 1.1291353110 0.3025508947 0.9309650136 3000.0000000000 0.0000000000 3000.0000000000 0.0023349473 0.0000000000 FLYING
0.1300000000 1.3799354894 0.3697526000 1.1314818349 3000.0000000000 0.0000000000 3000.0000000000 0.0021033433 -0.0000000000 FLYING
0.1400000000 1.6584571065 0.4443822424 1.3531955441 3000.0000000000 0.0000000000 3000.0000000000 0.0019111343 -0.0000000000 FLYING
0.1500000000 1.9648766643 0.5264871154 1.5961537714 3000.0000000000 0.0000000000 3000.0000000000 0.0017488651 0.0000000000 FLYING
0.1600000000 2.2993668517 0.6161134910 1.8604094694 3000.0000000000 0.0000000000 3000.0000000000 0.0016098822 -0.0000000000 FLYING
0.1700000000 2.6620971568 0.7133067833 2.1460201445 3000.0000000000 0.0000000000 3000.0000000000 0.0014893674 -0.0000000000 FLYING
0.1800000000 3.0532343397 0.8181116756 2.4530472629 3000.0000000000 0.0000000000 3000.0000000000 0.0013837456 -0.0000000000 FLYING
0.1900000000 3.4729428045 0.9305722198 2.7815557797 3000.0000000000 0.0000000000 3000.0000000000 0.0012903076 -0.0000000000 FLYING
0.2000000000 3.9213848966 1.0507319162 3.1316137627 3000.0000000000 0.0000000000 3000.0000000000 0.0012069633 -0.0000000000 FLYING
0.2100000000 4.3987211444 1.1786337784 3.5032920848 3000.0000000000 0.0000000000 3000.0000000000 0.0011320741 -0.0000000000 FLYING
0.2200000000 4.9051104576 1.3143203859 3.8966641719 3000.0000000000 0.0000000000 3000.0000000000 0.0010643371 -0.0000000000 FLYING
0.2300000000 5.4407102914 1.4578339288 4.3118057927 3000.0000000000 0.0000000000 3000.0000000000 0.0010027035 -0.0000000000 FLYING
0.2400000000 6.0056767846 1.6092162444 4.7487948818 3000.0000000000 0.0000000000 3000.0000000000 0.0009463193 -0.0000000000 FLYING
0.2500000000 6.6001648751 1.7685088482 5.2077113909 3000.0000000000 0.0000000000 3000.0000000000 0.0008944824 -0.0000000000 FLYING
0.2600000000 7.2243283996 1.9357529605 5.6886371613 3000.0000000000 0.0000000000 3000.0000000000 0.0008466098 -0.0000000000 FLYING
0.2700000000 7.8783201773 2.1109895292 6.1916558147 3000.0000000000 0.0000000000 3000.0000000000 0.0008022187 -0.0000000000 FLYING
0.2800000000 8.5622877006 2.2942580748 6.7168492888 3000.0000000000 0.0000000000 3000.0000000000 0.0007609394 -0.0000000000 FLYING
0.2900000000 9.2763381140 2.4855873064 7.2642708316 3000.0000000000 0.0000000000 3000.0000000000 0.0007224216 -0.0000000000 FLYING
0.3000000000 10.0205776966 2.6850057015 7.8339752862 3000.0000000000 0.0000000000 3000.0000000000 0.0006863574 -0.0000000000 FLYING
0.3100000000 10.7951119163 2.8925415202 8.4260190207 3000.0000000000 0.0000000000 3000.0000000000 0.0006524826 -0.0000000000 FLYING
0.3200000000 11.6000454769 3.1082228177 9.0404598681 3000.0000000000 0.0000000000 3000.0000000000 0.0006205695 -0.0000000000 FLYING
0.3300000000 12.4354823599 3.3320774558 9.6773570717 3000.0000000000 0.0000000000 3000.0000000000 0.0005904207 -0.0000000000 FLYING
0.3400000000 13.3015258613 3.5641331126 10.3367712378 3000.0000000000 0.0000000000 3000.0000000000 0.0005618642 -0.0000000000 FLYING
0.3500000000 14.1982786242 3.8044172913 11.0187642936 3000.0000000000 0.0000000000 3000.0000000000 0.0005347494 -0.0000000000 FLYING
0.3600000000 15.1258426679 4.0529573277 11.7233994491 3000.0000000000 0.0000000000 3000.0000000000 0.0005089441 -0.0000000000 FLYING
0.3700000000 16.0843194139 4.3097803978 12.4507411637 3000.0000000000 0.0000000000 3000.0000000000 0.0004843313 -0.0000000000 FLYING
0.3800000000 17.0738097089 4.5749135232 13.2008551161 3000.0000000000 0.0000000000 3000.0000000000 0.0004608078 -0.0000000000 FLYING
0.3900000000 18.0944138451 4.8483835773 13.9738081778 3000.0000000000 0.0000000000 3000.0000000000 0.0004382815 -0.0000000000 FLYING
0.4000000000 19.1462315793 5.1302172898 14.7696683882 3000.0000000000 0.0000000000 3000.0000000000 0.0004166705 -0.0000000000 FLYING
0.4100000000 20.2293621488 5.4204412512 15.5885049337 3000.0000000000 0.0000000000 3000.0000000000 0.0003959012 -0.0000000000 FLYING
0.4200000000 21.3439042865 5.7190819169 16.4303881280 3000.0000000000 0.0000000000 3000.0000000000 0.0003759079 -0.0000000000 FLYING
0.4300000000 22.4899562340 6.0261656107 17.2953893945 3000.0000000000 0.0000000000 3000.0000000000 0.0003566314 -0.0000000001 FLYING
0.4400000000 23.6676157538 6.3417185277 18.1835812508 3000.0000000000 0.0000000000 3000.0000000000 0.0003380180 -0.0000000005 FLYING
0.4500000000 24.8769801393 6.6657667372 19.0950372943 3000.0000000000 0.0000000000 3000.0000000000 0.0003200194 -0.0000000024 FLYING
0.4600000000 26.1181462254 6.9983361828 20.0298321898 3000.0000000000 0.0000000000 3000.0000000000 0.0003025918 -0.0000000131 FLYING
0.4700000000 27.3912104000 7.3394526731 20.9880416579 3000.0000000000 0.0000000000 3000.0000000000 0.0002856953 -0.0000000793 FLYING
0.4800000000 28.6962686316 7.6891418074 21.9697424646 3000.0000000000 0.0000000000 3000.0000000000 0.0002692934 -0.0000005209 FLYING
0.4900000000 30.0334166208 8.0474284396 22.9750124125 3000.0000000000 0.0000000000 3000.0000000000 0.0002533532 -0.0000037243 FLYING
0.5000000000 31.4027509030 8.4143325829 24.0039303318 3000.0000000000 0.0000000000 3000.0000000000 0.0002378445 -0.0000290348 FLYING
0.5100000000 32.8043779478 8.7898354746 25.0565760734 3000.0000000000 0.0000000000 3000.0000000000 0.0002227412 -0.0002233418 FLYING
0.5200000000 34.2384848087 9.1736158715 26.1330304996 3000.0000000000 0.0000000000 3000.0000000000 0.0002080128 -0.0002276336 FLYING
0.5300000000 35.7051720754 9.5656732566 27.2333755068 3000.0000000000 0.0000000000 3000.0000000000 0.0001936669 -0.0002327812 FLYING
0.5400000000 37.2045404963 9.9660048221 28.3576939316 3000.0000000000 0.0000000000 3000.0000000000 0.0001796566 -0.0002379388 FLYING
0.5500000000 38.7366820226 10.3746046444 29.5060631802 3000.0000000000 0.0000000000 3000.0000000000 0.0001659682 -0.0002431123 FLYING
0.5600000000 40.3016540301 10.7914568108 30.6785359028 3000.0000000000 0.0000000000 3000.0000000000 0.0001525925 -0.0002482910 FLYING
0.5700000000 41.8995135432 11.2165445867 31.8751656375 3000.0000000000 0.0000000000 3000.0000000000 0.0001395114 -0.0002534748 FLYING
0.5800000000 43.5303172391 11.6498504137 33.0960068030 3000.0000000000 0.0000000000 3000.0000000000 0.0001267066 -0.0002586604 FLYING
0.5900000000 45.1941172360 12.0913547969 34.3411115430 3000.0000000000 0.0000000000 3000.0000000000 0.0001141661 -0.0002638500 FLYING
0.6000000000 46.8909648647 12.5410373032 35.6105325332 3000.0000000000 0.0000000000 3000.0000000000 0.0001018760 -0.0002690434 FLYING
0.6100000000 48.6209107340 12.9988765778 36.9043230212 3000.0000000000 0.0000000000 3000.0000000000 0.0000898229 -0.0002742404 FLYING
0.6200000000 50.3840047200 13.4648503394 38.2225368097 3000.0000000000 0.0000000000 3000.0000000000 0.0000779946 -0.0002794410 FLYING
0.6300000000 52.1802959536 13.9389353764 39.5652282404 3000.0000000000 0.0000000000 3000.0000000000 0.0000663796 -0.0002846450 FLYING
0.6400000000 54.0098328084 14.4211075418 40.9324521775 3000.0000000000 0.0000000000 3000.0000000000 0.0000549673 -0.0002898523 FLYING
0.6500000000 55.8726628876 14.9113417494 42.3242639910 3000.0000000000 0.0000000000 3000.0000000000 0.0000437477 -0.0002950628 FLYING
0.6600000000 57.7688330112 15.4096119690 43.7407195417 3000.0000000000 0.0000000000 3000.0000000000 0.0000327115 -0.0003002764 FLYING
0.6700000000 59.6983892016 15.9158912220 45.1818751642 3000.0000000000 0.0000000000 3000.0000000000 0.0000218501 -0.0003054928 FLYING
0.6800000000 61.6613766698 16.4301515768 46.6477876513 3000.0000000000 0.0000000000 3000.0000000000 0.0000111552 -0.0003107120 FLYING
0.6900000000 63.6578398007 16.9523641444 48.1385142383 3000.0000000000 0.0000000000 3000.0000000000 0.0001369719 -0.0003159338 FLYING
0.7000000000 65.6880220679 17.4825513696 49.6538265110 3000.0000000000 0.0000000000 3000.0000000000 -0.0000109310 -0.0003211325 FLYING
0.7100000000 67.7517678712 18.0206306399 51.1940664869 3000.0000000000 0.0000000000 3000.0000000000 0.0001196092 -0.0003263770 FLYING
0.7200000000 69.8493321809 18.5666256970 52.7589875843 3000.0000000000 0.0000000000 3000.0000000000 -0.0000315588 -0.0003315813 FLYING
