tof posE posN posU tgtE tgtN tgtU normComm normAch pitchRate thetaRate pitchDefl alpha theta sideComm sideAch yawRate psiRate yawDefl beta psi rollComm phiRate rollRate rollDefl roll seekPitchErr seekYawErr staticMargin mach
0.0010000000 0.0004359962 0.0002517225 0.0008621854 3000.0000000000 0.0000000000 3000.0000000000 -0.0000156106 -0.5000000000 0.0000000000 0.0000000000 0.0000000000 0.2813986966 60.0000000000 -0.0000312212 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.6071806649 0.0029385836
0.0020000000 0.0008779775 0.0005069005 0.0017265340 3000.0000000000 0.0000000000 3000.0000000000 -0.0000151048 -0.4999991657 -0.0000000883 -0.0000000883 0.0000000000 0.5597956287 60.0000000000 -0.0000311510 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000075 -0.0000000423 1.5154257351 0.0029339083
0.0030000000 0.0013289383 0.0007672629 0.0025990346 3000.0000000000 0.0000000000 3000.0000000000 -0.0000148111 -0.4999983222 -0.0000003540 -0.0000003540 0.0000000000 0.8295414520 59.9999999997 -0.0000315149 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000149 -0.0000000848 1.4399069570 0.0029496733
0.0040000000 0.0017918741 0.0010345390 0.0034856784 3000.0000000000 0.0000000000 3000.0000000000 -0.0000147228 -0.4999974523 -0.0000008011 -0.0000008011 0.0000000000 1.0855252537 59.9999999992 -0.0000323196 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000221 -0.0000001278 1.3778891039 0.0029858259
0.0050000000 0.0022697818 0.0013104591 0.0043924589 3000.0000000000 0.0000000000 3000.0000000000 -0.0000148385 -0.4999965385 -0.0000014370 -0.0000014370 0.0000000000 1.3234778695 59.9999999980 -0.0000335815 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000292 -0.0000001716 1.3270824008 0.0030423685
0.0060000000 0.0027656592 0.0015967541 0.0053253720 3000.0000000000 0.0000000000 3000.0000000000 -0.0000151612 -0.4999955636 -0.0000022728 -0.0000022728 0.0000000000 1.5401688498 59.9999999962 -0.0000353264 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000364 -0.0000002165 1.2855824737 0.0031193014
0.0070000000 0.0032825056 0.0018951555 0.0062904162 3000.0000000000 0.0000000000 3000.0000000000 -0.0000156984 -0.4999945100 -0.0000033235 -0.0000033235 0.0000000000 1.7334843607 59.9999999934 -0.0000375889 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000435 -0.0000002628 1.2518115947 0.0032166235
0.0080000000 0.0038233213 0.0022073956 0.0072935921 3000.0000000000 0.0000000000 3000.0000000000 -0.0000164620 -0.4999933605 -0.0000046075 -0.0000046075 0.0000000000 1.9023948965 59.9999999894 -0.0000404125 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000507 -0.0000003108 1.2244652362 0.0033343330
0.0090000000 0.0043911080 0.0025352074 0.0083409030 3000.0000000000 0.0000000000 3000.0000000000 -0.0000174686 -0.4999920976 -0.0000061473 -0.0000061473 0.0000000000 2.0468373407 59.9999999840 -0.0000438499 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000581 -0.0000003608 1.2024654400 0.0034724283
0.0100000000 0.0049888683 0.0028803244 0.0094383544 3000.0000000000 0.0000000000 3000.0000000000 -0.0000187392 -0.4999907041 -0.0000079686 -0.0000079686 0.0000000000 2.1675432081 59.9999999770 -0.0000479628 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000657 -0.0000004130 1.1849211643 0.0036309082
