tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.0100000000 0.0057357644 0.0000000000 0.0081915204 7000.0000000000 0.0000000000 3000.0000000000 0.0348891292 -0.0000002133 FLYING
0.0200000000 0.0154408001 -0.0000000034 0.0210710056 7000.0000000000 0.0000000000 3000.0000000000 0.0202011295 -0.0000003060 FLYING
0.0300000000 0.0334929404 -0.0000000188 0.0440471067 7000.0000000000 0.0000000000 3000.0000000000 0.0122931273 -0.0000005954 FLYING
0.0400000000 0.0644253864 -0.0000000744 0.0824358426 7000.0000000000 0.0000000000 3000.0000000000 0.0080606984 -0.0000010937 FLYING
0.0500000000 0.1128347568 -0.0000002450 0.1415329029 7000.0000000000 0.0000000000 3000.0000000000 0.0075334377 -0.0000024273 FLYING
0.0600000000 0.1656843959 -0.0000006318 0.2050680736 7000.0000000000 0.0000000000 3000.0000000000 0.0053736384 -0.0000020071 FLYING
0.0700000000 0.2409560514 -0.0000014175 0.2945759863 7000.0000000000 0.0000000000 3000.0000000000 0.0041854169 -0.0000031041 FLYING
0.0800000000 0.3389059476 -0.0000029100 0.4100665491 7000.0000000000 0.0000000000 3000.0000000000 0.0034323316 -0.0000042347 FLYING
0.0900000000 0.4597595116 -0.0000055395 0.5515748263 7000.0000000000 0.0000000000 3000.0000000000 0.0029128993 -0.0000053858 FLYING
0.1000000000 0.6037230127 -0.0000098616 0.7191517749 7000.0000000000 0.0000000000 3000.0000000000 0.0025334891 -0.0000065513 FLYING
0.1100000000 0.7709897769 -0.0000165600 0.9128592555 7000.0000000000 0.0000000000 3000.0000000000 0.0022446463 -0.0000077280 FLYING
0.1200000000 0.9617438942 -0.0000264488 1.1327670352 7000.0000000000 0.0000000000 3000.0000000000 0.0020177758 -0.0000089139 FLYING
0.1300000000 1.1761626066 -0.0000404744 1.3789508452 7000.0000000000 0.0000000000 3000.0000000000 0.0018351877 -0.0000101080 FLYING
0.1400000000 1.4144179359 -0.0000597183 1.6514910487 7000.0000000000 0.0000000000 3000.0000000000 0.0016853484 -0.0000113092 FLYING
0.1500000000 1.6766778440 -0.0000853988 1.9504716874 7000.0000000000 0.0000000000 3000.0000000000 0.0015604151 -0.0000125172 FLYING
0.1600000000 1.9631070880 -0.0001188732 2.2759797746 7000.0000000000 0.0000000000 3000.0000000000 0.0014548683 -0.0000137314 FLYING
0.1700000000 2.2738678696 -0.0001616400 2.6281047557 7000.0000000000 0.0000000000 3000.0000000000 0.0013647100 -0.0000149515 FLYING
0.1800000000 2.6091203402 -0.0002153409 3.0069380872 7000.0000000000 0.0000000000 3000.0000000000 0.0012869730 -0.0000161772 FLYING
0.1900000000 2.9690230006 -0.0002817630 3.4125729017 7000.0000000000 0.0000000000 3000.0000000000 0.0012194086 -0.0000174084 FLYING
0.2000000000 3.3537330238 -0.0003628405 3.8451037354 7000.0000000000 0.0000000000 3000.0000000000 0.0011602813 -0.0000186448 FLYING
0.2100000000 3.7634065200 -0.0004606572 4.3046263042 7000.0000000000 0.0000000000 3000.0000000000 0.0011082304 -0.0000198863 FLYING
0.2200000000 4.1981987555 -0.0005774485 4.7912373174 7000.0000000000 0.0000000000 3000.0000000000 0.0010621736 -0.0000211327 FLYING
0.2300000000 4.6582643373 -0.0007156032 5.3050343193 7000.0000000000 0.0000000000 3000.0000000000 0.0010212395 -0.0000223839 FLYING
0.2400000000 5.1437573696 -0.0008776658 5.8461155549 7000.0000000000 0.0000000000 3000.0000000000 0.0009847185 -0.0000236397 FLYING
0.2500000000 5.6548315879 -0.0010663385 6.4145798540 7000.0000000000 0.0000000000 3000.0000000000 0.0009520269 -0.0000249001 FLYING
0.2600000000 6.1916404745 -0.0012844833 7.0105265295 7000.0000000000 0.0000000000 3000.0000000000 0.0009226799 -0.0000261648 FLYING
0.2700000000 6.7543373598 -0.0015351238 7.6340552896 7000.0000000000 0.0000000000 3000.0000000000 0.0008962776 -0.0000274341 FLYING
