 tof posE posN posU range velE velN velU u v w speed mach accE accN accU udot vdot wdot ENUToFLU_0_0 ENUToFLU_0_1 ENUToFLU_0_2 ENUToFLU_1_0 ENUToFLU_1_1 ENUToFLU_1_2 ENUToFLU_2_0 ENUToFLU_2_1 ENUToFLU_2_2 alphaRadians betaRadians alphaDegrees betaDegrees phi theta psi phiDot thetaDot psiDot p q r pdot qdot rdot gravity axialGravity sideGravity normalGravity pressure dynamicPressure rollFinCommand pitchFinCommand yawFinCommand rollFinDeflection pitchFinDeflection yawFinDeflection finOneDeflection finOneDeflectionDerived finOneRate finOneRateDerived finTwoDeflection finTwoDeflectionDerived finTwoRate finTwoRateDerived finThreeDeflection finThreeDeflectionDerived finThreeRate finThreeRateDerived finFourDeflection finFourDeflectionDerived finFourRate finFourRateDerived alphaPrimeRadians alphaPrimeDegrees sinPhiPrime cosPhiPrime rollFinDeflectionDegrees pitchFinDeflectionDegreesAeroBallisticFrame yawFinDeflectionDegreesAeroBallisticFrame totalFinDeflectionDegrees pitchRateDegreesAeroBallisticFrame yawRateDegreesAeroBallisticFrame rollRateDegrees sinOfFourTimesPhiPrime squaredSinOfTwoTimesPhiPrime CA0 CAA CAD CAOFF CYP CYDR CN0 CNP CNDQ CLLAP CLLP CLLDP CLM0 CLMP CLMQ CLMDQ CLNP mass unadjustedThrust transverseMomentOfInertia axialMomentOfInertia centerOfGravityFromNose thrust CX CY CZ CL CM CN CNA CMA CND CMD CMQ CLP CLD staticMargin lethality launch
0.0010000000 0.0007079141 0.0000000000 0.0007030106 0.0009976804 0.7095356860 -0.0000000000 0.6997286778 0.9965003882 -0.0000000000 -0.0069346020 0.9965244013 0.0029283703 4.8720065439 -0.0000000000 -4.9350097998 -0.0445500295 -0.0000000000 -6.9346077599 0.7071067812 -0.0000000000 0.7071067812 0.0000000000 1.0000000000 -0.0000000000 -0.7071067812 0.0000000000 0.7071067812 -0.0069588441 0.0000000000 -0.3987123978 0.0000000000 -0.0000000000 0.7853981634 -0.0000000000 -0.0000000000 0.0000000022 -0.0000000000 0.0000000000 0.0000000022 0.0000000000 0.0000000000 0.0000043517 0.0000000000 9.8070000000 -6.9345962031 -0.0000000000 -6.9345962031 101469.0000000000 0.6087463209 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0069588441 0.3987123978 0.0000000000 -1.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000001249 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0022593703 0.1366012876 0.0956909755 0.0027909868 0.1366012876 -0.0001594850 -0.1562658083 0.0841329041 -0.1537700814 -0.0132904133 -23.1551000000 -1.0486773967 0.0111639471 91.9378840000 635.2600000000 59.8032160000 0.3078000000 1.5356640000 633.4600000000 0.3363016317 -0.0000000000 -0.0956909755 0.0000000000 0.1537924645 0.0000000000 7.8616160828 -11.6481586255 7.8266772557 -60.0847889008 -1326.6895042034 -8.9533712958 4.8204603250 1.4816493839 FLYING 1
0.0020000000 0.0014207003 0.0000000000 0.0014010863 0.0019953647 0.7168514467 -0.0000000000 0.6972374140 0.9999118226 -0.0000000000 -0.0138692156 1.0000078886 0.0029386068 9.7598412666 -0.0000000000 -0.0471915425 6.8678804832 -0.0000000000 -6.9346194027 0.7071067812 -0.0000000000 0.7071067812 0.0000000000 1.0000000000 -0.0000000000 -0.7071067812 0.0000000000 0.7071067812 -0.0138695508 0.0000000000 -0.7946667255 0.0000000000 -0.0000000000 0.7853981634 -0.0000000000 -0.0000000000 0.0000000087 -0.0000000000 0.0000000000 0.0000000087 0.0000000000 0.0000000000 0.0000087354 0.0000000000 9.8070000000 -6.9345962031 -0.0000000000 -6.9345962031 101469.0000000000 0.6130096715 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0138695508 0.7946667255 0.0000000000 -1.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000004994 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0045031114 0.1362053333 0.1907200141 0.0055626671 0.1362053333 -0.0003178667 -0.1565297778 0.0842648889 -0.3064764671 -0.0264888909 -23.1551000000 -1.0453777773 0.0222506683 91.9194680000 1270.5200000000 59.8021320000 0.3078000000 1.5356280000 1268.7200000000 0.3296495990 -0.0000000000 -0.1907200141 0.0000000000 0.3065656899 0.0000000000 8.8409171780 -12.2441087557 7.8039907438 -59.8957346353 -1326.6895042034 -8.9684956370 4.8280224956 1.3849364844 FLYING 1
0.0030000000 0.0021432466 0.0000000000 0.0020991150 0.0030000125 0.7290560215 -0.0000000000 0.6996349475 1.0102370724 -0.0000000000 -0.0208038409 1.0104511412 0.0029692952 14.6496347610 -0.0000000000 4.8425850219 13.7830807887 -0.0000000000 -6.9346313742 0.7071067812 -0.0000000000 0.7071067812 0.0000000000 1.0000000000 -0.0000000000 -0.7071067812 0.0000000000 0.7071067812 -0.0205901207 0.0000000000 -1.1797270166 0.0000000000 -0.0000000000 0.7853981634 -0.0000000000 -0.0000000000 0.0000000197 -0.0000000000 0.0000000000 0.0000000197 0.0000000000 0.0000000000 0.0000132427 0.0000000000 9.8070000000 -6.9345962032 -0.0000000000 -6.9345962030 101469.0000000000 0.6258800549 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0205901207 1.1797270166 0.0000000000 -1.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000011282 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0066851198 0.1358202730 0.2831344840 0.0082580891 0.1358202730 -0.0004718908 -0.1567864847 0.0843932423 -0.4549813861 -0.0393242339 -23.1551000000 -1.0421689415 0.0330323565 91.9010520000 1905.7800000000 59.8010480000 0.3078000000 1.5355920000 1903.9800000000 0.3231805861 -0.0000000000 -0.2831344840 0.0000000000 0.4551800625 0.0000000000 9.7932744029 -12.8241696830 7.7819284143 -59.7118818892 -1326.6895042034 -8.9832038567 4.8353766054 1.3094874253 FLYING 1
0.0040000000 0.0028804426 0.0000000000 0.0028019864 0.0040185832 0.7461513696 -0.0000000000 0.7069232372 1.0274789080 -0.0000000000 -0.0277384785 1.0278531472 0.0030204324 19.5413883754 -0.0000000000 9.7343208985 20.7010525513 -0.0000000000 -6.9346439175 0.7071067812 -0.0000000000 0.7071067812 0.0000000000 1.0000000000 -0.0000000000 -0.7071067812 0.0000000000 0.7071067812 -0.0269900877 0.0000000000 -1.5464181136 0.0000000000 -0.0000000000 0.7853981634 -0.0000000000 -0.0000000000 0.0000000353 -0.0000000000 0.0000000000 0.0000000353 0.0000000000 0.0000000000 0.0000179648 0.0000000000 9.8070000000 -6.9345962034 -0.0000000000 -6.9345962028 101469.0000000000 0.6476235225 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0269900877 1.5464181136 0.0000000000 -1.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000020210 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0087630360 0.1354535819 0.3711403473 0.0108249268 0.1354535819 -0.0006185672 -0.1570309454 0.0845154727 -0.5964019191 -0.0515472705 -23.1551000000 -1.0391131824 0.0432997072 91.8826360000 2541.0400000000 59.7999640000 0.3078000000 1.5355560000 2539.2400000000 0.3170201757 -0.0000000000 -0.3711403473 0.0000000000 0.5967491336 0.0000000000 10.7001996914 -13.3770977926 7.7609185620 -59.5367997872 -1326.6895042034 -8.9972104249 4.8423798895 1.2501727237 FLYING 1
0.0050000000 0.0036371802 0.0000000000 0.0035145924 0.0050580345 0.7681394520 -0.0000000000 0.7191042428 1.0516401019 -0.0000000000 -0.0346731291 1.0522114267 0.0030920112 24.4351034506 -0.0000000000 14.6280170852 27.6217974245 -0.0000000000 -6.9346572752 0.7071067811 -0.0000000000 0.7071067813 0.0000000000 1.0000000000 -0.0000000000 -0.7071067813 0.0000000000 0.7071067811 -0.0329585922 0.0000000000 -1.8883882302 0.0000000000 -0.0000000000 0.7853981635 -0.0000000000 -0.0000000000 0.0000000557 -0.0000000000 0.0000000000 0.0000000557 0.0000000000 0.0000000000 0.0000229934 0.0000000000 9.8070000000 -6.9345962037 -0.0000000000 -6.9345962025 101469.0000000000 0.6786822674 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0329585922 1.8883882302 0.0000000000 -1.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000031927 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0107008666 0.1351116118 0.4532131752 0.0132187176 0.1351116118 -0.0007553553 -0.1572589255 0.0846294627 -0.7282883941 -0.0629462743 -23.1551000000 -1.0362634314 0.0528748704 91.8642200000 3176.3000000000 59.7988800000 0.3078000000 1.5355200000 3174.5000000000 0.3112750777 -0.0000000000 -0.4532131752 0.0000000000 0.7288183315 0.0000000000 11.5459833747 -13.8933194844 7.7413251176 -59.3735210838 -1326.6895042034 -9.0102727212 4.8489110377 1.2033032643 FLYING 1
0.0060000000 0.0044183531 0.0000000000 0.0042418265 0.0061253210 0.7950222308 -0.0000000000 0.7361799251 1.0827234278 -0.0000000000 -0.0416077936 1.0835224866 0.0031840214 29.3307813196 -0.0000000000 19.5236745725 34.5453170514 -0.0000000000 -6.9346716902 0.7071067811 -0.0000000000 0.7071067813 0.0000000000 1.0000000000 0.0000000000 -0.7071067813 0.0000000000 0.7071067811 -0.0384099330 0.0000000000 -2.2007270540 0.0000000000 0.0000000000 0.7853981636 -0.0000000000 -0.0000000000 0.0000000814 -0.0000000000 0.0000000000 0.0000000814 0.0000000000 0.0000000000 0.0000284196 0.0000000000 9.8070000000 -6.9345962042 -0.0000000000 -6.9345962020 101469.0000000000 0.7196748601 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0384099330 2.2007270540 0.0000000000 -1.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000046635 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0124707866 0.1347992729 0.5281744930 0.0154050894 0.1347992729 -0.0008802908 -0.1574671514 0.0847335757 -0.8487470671 -0.0733575685 -23.1551000000 -1.0336606079 0.0616203575 91.8458040000 3811.5600000000 59.7977960000 0.3078000000 1.5354840000 3809.7600000000 0.3060277855 -0.0000000000 -0.5281744930 0.0000000000 0.8494880669 0.0000000000 12.3184809352 -14.3654124825 7.7234294212 -59.2243902807 -1326.6895042034 -9.0222031854 4.8548762698 1.1661675298 FLYING 1
0.0070000000 0.0052288569 0.0000000000 0.0049885844 0.0072273935 0.8268016694 -0.0000000000 0.7581522460 1.1207316614 -0.0000000000 -0.0485424731 1.1217823180 0.0032964511 34.2284233076 -0.0000000000 24.4212943435 41.4716130641 -0.0000000000 -6.9346874051 0.7071067810 -0.0000000000 0.7071067814 0.0000000000 1.0000000000 0.0000000000 -0.7071067814 0.0000000000 0.7071067810 -0.0432861479 0.0000000000 -2.4801135867 0.0000000000 0.0000000000 0.7853981637 -0.0000000000 -0.0000000000 0.0000001127 -0.0000000000 0.0000000000 0.0000001127 0.0000000000 0.0000000000 0.0000343349 0.0000000000 9.8070000000 -6.9345962049 -0.0000000000 -6.9345962013 101469.0000000000 0.7713964838 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0432861479 2.4801135867 0.0000000000 -1.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000064587 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0140539770 0.1345198864 0.5952272608 0.0173607951 0.1345198864 -0.0009920454 -0.1576534091 0.0848267045 -0.9564971399 -0.0826704529 -23.1551000000 -1.0313323868 0.0694431804 91.8273880000 4446.8200000000 59.7967120000 0.3078000000 1.5354480000 4445.0200000000 0.3013340917 -0.0000000000 -0.5952272608 0.0000000000 0.9574712153 0.0000000000 13.0094786547 -14.7883322980 7.7074217521 -59.0909930375 -1326.6895042034 -9.0328749649 4.8602121595 1.1367351983 FLYING 1
0.0080000000 0.0060735893 0.0000000000 0.0057597639 0.0083711988 0.8634797326 -0.0000000000 0.7850231682 1.1656675799 -0.0000000000 -0.0554771691 1.1669868693 0.0034292885 39.1280307321 -0.0000000000 29.3208773739 48.4006870838 -0.0000000000 -6.9347046625 0.7071067809 -0.0000000000 0.7071067815 0.0000000000 1.0000000000 0.0000000000 -0.7071067815 0.0000000000 0.7071067809 -0.0475567358 0.0000000000 -2.7248002503 0.0000000000 0.0000000000 0.7853981638 -0.0000000000 -0.0000000000 0.0000001503 -0.0000000000 0.0000000000 0.0000001503 0.0000000000 0.0000000000 0.0000408305 0.0000000000 9.8070000000 -6.9345962058 -0.0000000000 -6.9345962004 101469.0000000000 0.8348191704 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0475567358 2.7248002503 0.0000000000 -1.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000086090 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0154405348 0.1342751997 0.6539520601 0.0190736018 0.1342751997 -0.0010899201 -0.1578165335 0.0849082668 -1.0508646299 -0.0908266750 -23.1551000000 -1.0292933312 0.0762944070 91.8089720000 5082.0800000000 59.7956280000 0.3078000000 1.5354120000 5080.2800000000 0.2972233558 -0.0000000000 -0.6539520601 0.0000000000 1.0520874284 0.0000000000 13.6146543048 -15.1593929691 7.6934022389 -58.9741637614 -1326.6895042034 -9.0422213069 4.8648853306 1.1134614680 FLYING 1
0.0090000000 0.0069574499 0.0000000000 0.0065602643 0.0095636796 0.9050583864 -0.0000000000 0.8167946555 1.2175339621 -0.0000000000 -0.0624118834 1.2191324414 0.0035825226 44.0296049025 -0.0000000000 34.2224246317 55.3325407214 -0.0000000000 -6.9347237048 0.7071067808 -0.0000000000 0.7071067816 0.0000000000 1.0000000000 0.0000000000 -0.7071067816 -0.0000000000 0.7071067808 -0.0512160737 0.0000000000 -2.9344648684 0.0000000000 0.0000000000 0.7853981640 -0.0000000000 -0.0000000000 0.0000001946 -0.0000000000 0.0000000000 0.0000001946 0.0000000000 0.0000000000 0.0000479976 0.0000000000 9.8070000000 -6.9345962070 -0.0000000000 -6.9345961992 101469.0000000000 0.9110920367 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0512160737 2.9344648684 0.0000000000 -1.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000111503 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0166286343 0.1340655351 0.7042715684 0.0205412541 0.1340655351 -0.0011737859 -0.1579563099 0.0849781550 -1.1317252843 -0.0978154956 -23.1551000000 -1.0275461261 0.0821650163 91.7905560000 5717.3400000000 59.7945440000 0.3078000000 1.5353760000 5715.5400000000 0.2937009902 -0.0000000000 -0.7042715684 0.0000000000 1.1332064169 0.0000000000 14.1332110569 -15.4780489633 7.6813893412 -58.8740562803 -1326.6895042034 -9.0502299054 4.8688896298 1.0951544487 FLYING 1
0.0100000000 0.0078853403 0.0000000000 0.0073949873 0.0108117754 0.9515395985 -0.0000000000 0.8534686724 1.2763335884 -0.0000000000 -0.0693466178 1.2782159779 0.0037561445 48.9331474150 -0.0000000000 39.1259367836 62.2671755765 -0.0000000000 -6.9347451905 0.7071067806 -0.0000000000 0.7071067817 0.0000000000 1.0000000000 0.0000000000 -0.7071067817 -0.0000000000 0.7071067806 -0.0542793102 0.0000000000 -3.1099753867 0.0000000000 0.0000000000 0.7853981642 -0.0000000000 -0.0000000000 0.0000002463 -0.0000000000 0.0000000000 0.0000002461 0.0000000000 0.0000000000 0.0000547568 0.0000000000 9.8070000000 -6.9345962085 -0.0000000000 -6.9345961977 101469.0000000000 1.0015415208 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0542793102 3.1099753867 0.0000000000 -1.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000141096 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0208491385 0.1341832923 0.7484836252 0.0252890401 0.1341832923 -0.0012183292 -0.1581832923 0.0851099754 -1.1742661357 -0.1264307513 -23.1551000000 -1.0282830462 0.1092943389 91.7721400000 6352.6000000000 59.7934600000 0.3078000000 1.5353400000 6350.8000000000 0.2907524135 -0.0000000000 -0.7484836252 0.0000000000 1.1760147308 0.0000000000 14.3409801484 -15.5741801093 7.6881363306 -58.9162786909 -1326.6895042034 -9.0632350389 4.8764423841 1.0859913303 FLYING 1
