tof posE posN posU tgtE tgtN tgtU normAch pitchRate thetaRate alpha theta sideAch yawRate psiRate beta psi rollAngleComm rollRate phiRate phi
0.0000000000 0.0000000000 0.0000000000 0.0000000000 4000.0000000000 -2000.0000000000 1500.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.7853981634 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0010000000 0.0007115592 0.0000248482 0.0007021830 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7071067812 0.0000000000 0.0000000000 -0.0000000000 0.7853981634 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0020000000 0.0014328865 0.0000500375 0.0014043300 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7071055993 -0.0000000022 -0.0000000022 0.0069367908 0.7853981634 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0030000000 0.0021688687 0.0000757386 0.0021113308 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7071044336 -0.0000000087 -0.0000000087 0.0137780389 0.7853981634 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0040000000 0.0029243945 0.0001021221 0.0028280772 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7071032590 -0.0000000195 -0.0000000195 0.0203860538 0.7853981634 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0050000000 0.0037043546 0.0001293589 0.0035594629 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7071020506 -0.0000000348 -0.0000000348 0.0266379774 0.7853981633 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0060000000 0.0045136417 0.0001576198 0.0043103836 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7071007835 -0.0000000546 -0.0000000546 0.0324328273 0.7853981633 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0070000000 0.0053571505 0.0001870758 0.0050857369 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070994329 -0.0000000793 -0.0000000793 0.0376957964 0.7853981632 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0080000000 0.0062397776 0.0002178978 0.0058904224 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070979739 -0.0000001091 -0.0000001091 0.0423796107 0.7853981631 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0090000000 0.0071664215 0.0002502570 0.0067293417 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070963819 -0.0000001446 -0.0000001446 0.0464632627 0.7853981630 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0100000000 0.0081419828 0.0002843243 0.0076073984 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070946325 -0.0000001863 -0.0000001863 0.0499487831 0.7853981629 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0110000000 0.0091713639 0.0003202711 0.0085294980 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070926907 -0.0000002347 -0.0000002347 0.0528568511 0.7853981626 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0120000000 0.0102594694 0.0003582686 0.0095005479 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070904969 -0.0000002896 -0.0000002896 0.0552219960 0.7853981624 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0130000000 0.0114112056 0.0003984881 0.0105254577 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070880731 -0.0000003514 -0.0000003514 0.0570879785 0.7853981621 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0140000000 0.0126314810 0.0004411010 0.0116091386 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070853952 -0.0000004209 -0.0000004209 0.0585037409 0.7853981617 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0150000000 0.0139252059 0.0004862789 0.0127565042 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070824391 -0.0000004992 -0.0000004992 0.0595201140 0.7853981612 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0160000000 0.0152972927 0.0005341932 0.0139724698 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070791814 -0.0000005874 -0.0000005874 0.0601873251 0.7853981607 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0170000000 0.0167526557 0.0005850156 0.0152619528 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070755986 -0.0000006866 -0.0000006866 0.0605532493 0.7853981600 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0180000000 0.0182962111 0.0006389178 0.0166298725 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070716676 -0.0000007983 -0.0000007983 0.0606622931 0.7853981593 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
