tof posX posY posZ tgtX tgtY tgtZ normAch pitchRate alpha theta sideAch yawRate beta psi rollRate phi
0.0000000000 0.0000000000 0.0000000000 0.0000000000 5000.0000000000 0.0000000000 3000.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0471975512 0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0010000000 0.0004730930 0.0001721918 0.0008621997 5000.0000000000 0.0000000000 3000.0000000000 -0.5000000000 0.0000000000 -0.0000000000 1.0471975512 0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0020000000 0.0009526805 0.0003467473 0.0017265602 5000.0000000000 0.0000000000 3000.0000000000 -0.4999991630 -0.0000000015 0.0049127502 1.0471975512 0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0030000000 0.0014420115 0.0005248493 0.0025990700 5000.0000000000 0.0000000000 3000.0000000000 -0.4999983400 -0.0000000062 0.0097731159 1.0471975512 0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0040000000 0.0019443364 0.0007076806 0.0034857204 5000.0000000000 0.0000000000 3000.0000000000 -0.4999975135 -0.0000000138 0.0144824692 1.0471975512 0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0050000000 0.0024629070 0.0008964248 0.0043925050 5000.0000000000 0.0000000000 3000.0000000000 -0.4999966659 -0.0000000246 0.0189515808 1.0471975512 0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0060000000 0.0030009761 0.0010922660 0.0053254196 5000.0000000000 0.0000000000 3000.0000000000 -0.4999957796 -0.0000000385 0.0231059151 1.0471975511 0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0070000000 0.0035617981 0.0012963885 0.0062904627 5000.0000000000 0.0000000000 3000.0000000000 -0.4999948371 -0.0000000559 0.0268890700 1.0471975511 0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0080000000 0.0041486286 0.0015099773 0.0072936350 5000.0000000000 0.0000000000 3000.0000000000 -0.4999938210 -0.0000000768 0.0302641369 1.0471975510 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0090000000 0.0047647245 0.0017342179 0.0083409397 5000.0000000000 0.0000000000 3000.0000000000 -0.4999927137 -0.0000001017 0.0332131376 1.0471975509 0.0000000000 -0.0000000000 -0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0100000000 0.0054133440 0.0019702961 0.0094383823 5000.0000000000 0.0000000000 3000.0000000000 -0.4999914981 -0.0000001309 0.0357349663 1.0471975508 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 -0.0000000000
0.0110000000 0.0060977465 0.0022193982 0.0105919709 5000.0000000000 0.0000000000 3000.0000000000 -0.4999901567 -0.0000001648 0.0378423904 1.0471975507 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0120000000 0.0068211930 0.0024827112 0.0118077159 5000.0000000000 0.0000000000 3000.0000000000 -0.4999886724 -0.0000002040 0.0395586604 1.0471975505 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0130000000 0.0075869455 0.0027614223 0.0130916300 5000.0000000000 0.0000000000 3000.0000000000 -0.4999870279 -0.0000002489 0.0409141735 1.0471975503 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0140000000 0.0083982675 0.0030567194 0.0144497285 5000.0000000000 0.0000000000 3000.0000000000 -0.4999852061 -0.0000003003 0.0419434959 1.0471975500 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0150000000 0.0092584237 0.0033697907 0.0158880291 5000.0000000000 0.0000000000 3000.0000000000 -0.4999831900 -0.0000003588 0.0426829064 1.0471975496 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0160000000 0.0101706802 0.0037018249 0.0174125518 5000.0000000000 0.0000000000 3000.0000000000 -0.4999809623 -0.0000004252 0.0431685131 1.0471975493 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0170000000 0.0111383044 0.0040540113 0.0190293192 5000.0000000000 0.0000000000 3000.0000000000 -0.4999785060 -0.0000005003 0.0434349109 1.0471975488 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0180000000 0.0121645648 0.0044275395 0.0207443560 5000.0000000000 0.0000000000 3000.0000000000 -0.4999758043 -0.0000005849 0.0435143082 1.0471975483 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0190000000 0.0132527316 0.0048235998 0.0225636897 5000.0000000000 0.0000000000 3000.0000000000 -0.4999728401 -0.0000006801 0.0434360310 1.0471975476 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0200000000 0.0144060760 0.0052433829 0.0244933501 5000.0000000000 0.0000000000 3000.0000000000 -0.4999695966 -0.0000007868 0.0432263113 1.0471975469 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0210000000 0.0156278706 0.0056880797 0.0265393692 5000.0000000000 0.0000000000 3000.0000000000 -0.4999660569 -0.0000009062 0.0429082789 1.0471975460 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0220000000 0.0169213893 0.0061588820 0.0287077817 5000.0000000000 0.0000000000 3000.0000000000 -0.4999622045 -0.0000010393 0.0425020890 1.0471975451 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0230000000 0.0182899075 0.0066569819 0.0310046246 5000.0000000000 0.0000000000 3000.0000000000 -0.4999580226 -0.0000011875 0.0420251316 1.0471975440 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0240000000 0.0197367015 0.0071835719 0.0334359375 5000.0000000000 0.0000000000 3000.0000000000 -0.4999534947 -0.0000013519 0.0414922854 1.0471975427 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0250000000 0.0212650494 0.0077398450 0.0360077621 5000.0000000000 0.0000000000 3000.0000000000 -0.4999486046 -0.0000015339 0.0409161879 1.0471975412 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
