TOF EAST NORTH UP EAST_V NORTH_V UP_V EAST_A NORTH_A UP_A
0 0 0 0 1000 170 240 0 0 0
0.001 0.999913 0.17027 0.240171 999.826 170.54 240.342 -174.292 540.16 341.775
0.002 1.99965 0.34108 0.480684 999.651 171.08 240.684 -174.732 540.348 341.644
0.003 2.99922 0.512431 0.721538 999.476 171.621 241.025 -175.172 540.536 341.513
0.004 3.9986 0.684322 0.962734 999.301 172.161 241.367 -175.612 540.721 341.381
0.005 4.99782 0.856754 1.20427 999.125 172.702 241.708 -176.052 540.906 341.248
0.006 5.99685 1.02973 1.44615 998.949 173.243 242.049 -176.492 541.089 341.115
0.007 6.99572 1.20324 1.68837 998.772 173.784 242.39 -176.932 541.271 340.982
0.008 7.9944 1.3773 1.93093 998.595 174.326 242.731 -177.372 541.451 340.847
0.009 8.99291 1.55189 2.17383 998.418 174.867 243.072 -177.812 541.63 340.713
0.01 9.99123 1.72703 2.41707 998.239 175.409 243.412 -178.253 541.808 340.578
0.011 10.9894 1.90271 2.66066 998.061 175.951 243.753 -178.693 541.985 340.442
0.012 11.9874 2.07893 2.90458 997.882 176.493 244.093 -179.133 542.16 340.306
0.013 12.9851 2.2557 3.14884 997.703 177.035 244.434 -179.573 542.333 340.169
0.014 13.9828 2.433 3.39345 997.523 177.578 244.774 -180.014 542.506 340.031
0.015 14.9802 2.61085 3.63839 997.343 178.12 245.114 -180.454 542.677 339.894
0.016 15.9774 2.78924 3.88367 997.162 178.663 245.453 -180.894 542.847 339.755
0.017 16.9745 2.96818 4.1293 996.981 179.206 245.793 -181.334 543.015 339.616
0.018 17.9714 3.14765 4.37526 996.799 179.749 246.133 -181.775 543.182 339.477
0.019 18.9681 3.32768 4.62156 996.617 180.292 246.472 -182.215 543.348 339.337
0.02 19.9646 3.50824 4.8682 996.435 180.836 246.811 -182.655 543.512 339.197
0.021 20.961 3.68935 5.11519 996.252 181.379 247.151 -183.095 543.675 339.056
0.022 21.9571 3.871 5.36251 996.069 181.923 247.489 -183.536 543.837 338.914
0.023 22.9531 4.05319 5.61016 995.885 182.467 247.828 -183.976 543.997 338.772
0.024 23.9489 4.23593 5.85816 995.701 183.011 248.167 -184.416 544.156 338.63
0.025 24.9445 4.41921 6.1065 995.516 183.555 248.506 -184.856 544.314 338.487
0.026 25.9399 4.60304 6.35517 995.331 184.1 248.844 -185.297 544.47 338.343
0.027 26.9352 4.78741 6.60419 995.146 184.644 249.182 -185.737 544.625 338.199
0.028 27.9302 4.97233 6.85354 994.96 185.189 249.52 -186.177 544.779 338.054
0.029 28.9251 5.15779 7.10323 994.773 185.734 249.858 -186.617 544.931 337.909
0.03 29.9198 5.3438 7.35325 994.586 186.279 250.196 -187.057 545.081 337.763
0.031 30.9143 5.53035 7.60362 994.399 186.824 250.534 -187.497 545.231 337.617
0.032 31.9086 5.71745 7.85432 994.211 187.369 250.871 -187.937 545.379 337.471
0.033 32.9027 5.90509 8.10536 994.023 187.915 251.209 -188.377 545.526 337.323
0.034 33.8966 6.09328 8.35674 993.835 188.46 251.546 -188.817 545.671 337.176
0.035 34.8904 6.28201 8.60845 993.646 189.006 251.883 -189.256 545.815 337.027
0.036 35.8839 6.47129 8.86051 993.456 189.552 252.22 -189.696 545.957 336.879
0.037 36.8773 6.66111 9.11289 993.266 190.098 252.557 -190.136 546.098 336.729
0.038 37.8705 6.85148 9.36562 993.076 190.644 252.894 -190.575 546.238 336.579
0.039 38.8634 7.0424 9.61868 992.885 191.19 253.23 -191.015 546.377 336.429
0.04 39.8562 7.23387 9.87208 992.694 191.737 253.566 -191.454 546.514 336.278
0.041 40.8488 7.42588 10.1258 992.502 192.283 253.903 -191.894 546.649 336.127
0.042 41.8412 7.61843 10.3799 992.31 192.83 254.239 -192.333 546.783 335.975
0.043 42.8334 7.81154 10.6343 992.117 193.377 254.575 -192.772 546.916 335.823
0.044 43.8255 8.00519 10.889 991.924 193.924 254.91 -193.212 547.048 335.67
0.045 44.8173 8.19938 11.1441 991.731 194.471 255.246 -193.651 547.178 335.516
0.046 45.8089 8.39413 11.3995 991.537 195.018 255.581 -194.09 547.307 335.362
0.047 46.8004 8.58942 11.6553 991.343 195.566 255.917 -194.529 547.434 335.208
0.048 47.7916 8.78526 11.9114 991.148 196.113 256.252 -194.967 547.56 335.053
0.049 48.7827 8.98165 12.1678 990.953 196.661 256.587 -195.406 547.684 334.897
0.05 49.7735 9.17858 12.4245 990.757 197.209 256.922 -195.845 547.807 334.741
0.051 50.7642 9.37606 12.6816 990.561 197.756 257.256 -196.283 547.929 334.585
0.052 51.7546 9.57409 12.939 990.365 198.304 257.591 -196.722 548.049 334.428
0.053 52.7449 9.77267 13.1968 990.168 198.853 257.925 -197.16 548.168 334.27
0.054 53.735 9.9718 13.4549 989.97 199.401 258.259 -197.598 548.286 334.112
0.055 54.7248 10.1715 13.7133 989.773 199.949 258.593 -198.036 548.402 333.953
0.056 55.7145 10.3717 13.9721 989.574 200.498 258.927 -198.474 548.517 333.794
0.057 56.704 10.5725 14.2312 989.376 201.046 259.261 -198.912 548.63 333.635
0.058 57.6933 10.7738 14.4906 989.177 201.595 259.594 -199.349 548.742 333.474
0.059 58.6823 10.9757 14.7504 988.977 202.144 259.928 -199.787 548.852 333.314
0.06 59.6712 11.1781 15.0105 988.777 202.693 260.261 -200.224 548.961 333.153
0.061 60.6599 11.381 15.2709 988.577 203.242 260.594 -200.661 549.069 332.991
0.062 61.6484 11.5846 15.5316 988.376 203.791 260.927 -201.098 549.175 332.829
0.063 62.6367 11.7886 15.7927 988.174 204.34 261.26 -201.535 549.28 332.666
0.064 63.6247 11.9932 16.0542 987.973 204.889 261.592 -201.972 549.383 332.503
0.065 64.6126 12.1984 16.3159 987.77 205.439 261.925 -202.409 549.485 332.339
0.066 65.6003 12.4041 16.578 987.568 205.988 262.257 -202.845 549.586 332.175
0.067 66.5877 12.6104 16.8404 987.365 206.538 262.589 -203.282 549.685 332.01
0.068 67.575 12.8172 17.1032 987.161 207.088 262.921 -203.718 549.783 331.845
0.069 68.5621 13.0246 17.3663 986.957 207.637 263.253 -204.154 549.879 331.679
0.07 69.5489 13.2325 17.6297 986.753 208.187 263.584 -204.59 549.974 331.513
0.071 70.5356 13.4409 17.8935 986.548 208.737 263.916 -205.025 550.067 331.346
0.072 71.522 13.6499 18.1575 986.343 209.287 264.247 -205.461 550.16 331.179
0.073 72.5082 13.8595 18.4219 986.137 209.838 264.578 -205.896 550.25 331.011
0.074 73.4943 14.0696 18.6867 985.931 210.388 264.909 -206.331 550.339 330.843
0.075 74.4801 14.2803 18.9518 985.724 210.938 265.24 -206.766 550.427 330.674
0.076 75.4657 14.4915 19.2172 985.518 211.489 265.571 -207.201 550.513 330.505
0.077 76.4511 14.7033 19.4829 985.31 212.039 265.901 -207.635 550.598 330.335
0.078 77.4363 14.9156 19.749 985.102 212.59 266.231 -208.07 550.682 330.165
0.079 78.4213 15.1284 20.0154 984.894 213.141 266.561 -208.504 550.764 329.994
0.08 79.4061 15.3419 20.2821 984.685 213.692 266.891 -208.938 550.845 329.823
0.081 80.3907 15.5558 20.5492 984.476 214.242 267.221 -209.371 550.924 329.651
0.082 81.3751 15.7703 20.8165 984.266 214.793 267.551 -209.805 551.001 329.479
